cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2026,year_2027,year_2028,project_total,start_year,end_year
2025,60,3003210000,CITYWIDE STRIPING & SIGNAGE PROGRAM,,"Install, replace, and maintain street name signs, traffic control signs, and traffic and pedestrian striping at various locations, as-needed, throughout the City.",0,0,7456563,250000,1000000,250000,8956563,2026,2028
2025,65,3004010000,PARK AMENITY IMPROVEMENTS,,"Improvements, upgrades and maintenance of park amenities. Improvements include: activation of unused park space, increase ADA accessibility, playground structures and fitness equipment. • El Dorado Park Sports Fields Improvements • Heartwell Park Artificial Field Turf Improvements • Heartwell Park Playground and Area Improvements • Houghton Park Playground • Houghton Park Sports Complex • Marine Stadium Improvements • MLK Park Basketball Courts/Vision Plan Implentation • Scherer Park Signature Playground",0,0,30528911,8680000,5350000,0,44558911,2026,2027
2025,66,3004020000,OPEN SPACE DEVELOPMENT,,Acquisition of park land and development of parks throughout the City. • 10th Street Greenbelt • Hamilton Loop Improvements • MacArthur Park Improvements,0,0,34111305,1830000,1200000,0,37141305,2026,2027
2025,67,3004030000,PARK FACILITY IMPROVEMENTS,,"Improvements to City Park buildings to minimize structural deficiencies, extend the useful life of facilities, and improve energy efficiency. • Washington Neighborhood Youth Center",0,0,16891818,500000,2750000,0,20141818,2026,2027
2025,68,3004050000,PARK LIGHTING,,"Upgrade to municipal parks lighting with Light Emitting Diodes (LED) to extend the useful life, reduce energry costs, and to provide a safe environment. • Citywide Park LED upgrades",0,0,1454350,500000,0,0,1954350,2026,2026
2025,73,3005010000,FACILITY IMPROVEMENTS,,"Improvements to City buildings to minimize structural deficiencies, extend the useful life of facilities, and improve energy efficiency. • 702 W Anaheim (Year-round Shelter) • Burnett Library • Critical Facilities Reserve • Expo Building Facility Improvements • Fire Station 19 Dormitory Improvements • Fire Station 22 Dormitory Improvements • Juanita Millender McDonald Community Center",0,0,113577673,2933802,9161511,0,125672986,2026,2027
2025,74,3005030000,ENERGY EFFICIENCY IMPROVEMENTS,,Improvements to public facilities to reduce the amount of energy required to provide services. • LBMUST EV Infrastructure • Burnett Library EV Infrastructure • Ruth Back Library EV Infrastructure,0,0,12891037,2475000,0,0,15366037,2026,2026
2025,79,3006020000,STORM DRAIN SYSTEM IMPROVEMENTS,,Drainage improvements citywide to meet requirements mandated by the State and Federal agencies.,0,0,7188103,150000,1300000,0,8638103,2026,2027
2025,80,3006030000,LOW-FLOW DIVERSION SYSTEM IMPROVEMENTS,,"Low-Flow Diversion (LFD) systems are implemented to manage and treat dry-weather urban runoff, preventing polluted water from reaching waterways.",0,0,201831,1150000,0,0,1351831,2026,2026
2025,81,3006040000,WATER QUALITY IMPROVEMENTS,,"Design and implement local infrastructure improvements and prioritizes nature-based approaches, capture and clean stormwater, and help increase local water supply and safeguard water quality to ensure compliance with the Clean Water Act. • LB MUST Phase II • Skylinks Regional Stormwater Capture Project",0,0,27976930,7300000,3000000,3000000,41276930,2026,2028
