cip_year,source_page,department,project_name,project_id,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2022,year_2023,project_total,future_cost,start_year,end_year
2021,24,City Facilities,ADA Improvements,W793,City Court and Facilities Municipal,2006 Bonds,Citywide,Ongoing,0,0,0,2264118,0,2264118,0,2022,2022
2021,24,City Facilities,ADA Improvements- Major Maintenance and Repairs,W663,Major Maintenance,Other GO Non-Debt CIP -,Citywide,Ongoing,500000,249786,250214,0,0,500000,0,,
2021,25,City Facilities,Apparatus Replacement,E313,Replacement Fleet/Equipment,Other Debt GO CIP -,Citywide,Ongoing,33350000,31836578,1513422,11800000,11800000,56950000,0,2022,2023
2021,25,City Facilities,Cadillac Heights Land Acquisition,T825,Land Acquisition,2006 Bonds,Citywide,09/2022,11743349,528939,11214411,0,0,11743349,0,,
2021,25,City Facilities,Case Management System,E314,Replacement Fleet/Equipment,Other Debt GO CIP -,Citywide,Ongoing,3379178,3246908,132270,0,0,3379178,0,,
2021,25,City Facilities,Central Library - Elevators,W156,City Court and Facilities Municipal,2003 Bonds,Citywide,07/2021,107806,0,107806,0,0,107806,0,,
2021,25,City Facilities,Central Patrol Station,VG33,City Court and Facilities Municipal,2017 Bonds,2,03/2022,548,548,0,150452,0,151000,0,2022,2022
2021,25,City Facilities,Central Service Center - Streets Operations Building,VH03,City Court and Facilities Municipal,2017 Bonds,2,09/2021,125000,8030,116970,0,0,125000,0,,
2021,25,City Facilities,Central Service Center- Sanitation Building,VH04,City Court and Facilities Municipal,2017 Bonds,2,09/2021,149999,7858,142142,0,0,149999,0,,
2021,25,City Facilities,City Facilities - Police Facilities Safety Improvements,W019,City Court and Facilities Municipal,Other GO Non-Debt CIP -,Citywide,09/2020,697770,688711,9059,0,0,697770,0,,
2021,25,City Facilities,City Facilities- Building Condition Asse,T771,City Court and Facilities Municipal,2006 Bonds,Citywide,09/2021,100001,0,100001,0,0,100001,0,,
2021,25,City Facilities,City Facilities Improvements,W221,Major Maintenance,Other GO Non-Debt CIP -,Citywide,09/2024,7163673,7140997,22676,0,0,7163673,0,,
2021,25,City Facilities,City Hall - Electrical system renovation,T747,City Court and Facilities Municipal,2006 Bonds,Citywide,09/2022,4331763,3026850,1304912,0,0,4331763,0,,
2021,25,City Facilities,City Hall - Tank Replacement,T749,City Court and Facilities Municipal,2006 Bonds,Citywide,09/2022,160164,15407,144757,0,0,160164,0,,
2021,26,City Facilities,City Hall,VH05,City Court and Facilities Municipal,2017 Bonds,2,10/2022,2613986,2446452,167534,603750,1868229,5085965,0,2022,2023
2021,26,City Facilities,City Hall Data Center - Renovations,P478,Technology,Other Debt GO CIP -,Citywide,Ongoing,5200000,299517,4900483,0,0,5200000,0,,
2021,26,City Facilities,Citywide Radio System Replacement,E384,Technology,Other Debt GO CIP -,Citywide,Ongoing,54899072,53975572,923500,0,0,54899072,0,,
2021,26,City Facilities,Comfort Suites- 13165 N. Central Exwy,VJ11,Homeless Services Housing,2017 Bonds,11,09/2023,2590,2590,0,0,0,2590,0,,
2021,26,City Facilities,Contingency Reserve - Capital Construction,P479,Major Maintenance,Other GO Non-Debt CIP -,Citywide,09/2020,3014104,3009214,4890,0,0,3014104,0,,
