cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,year_2024,year_2025,year_2026,year_2027,validation_label
2024,Fire Protection Facilities,30,2024 Bonds,Fire Station #53,2027,2027,7,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,30,2024 Bonds,Fire Station #54,2027,2027,8,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,30,2024 Bonds,Fire Station #55,2027,2027,9,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,30,2024 Bonds,Fire Station #56,2027,2027,11,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,30,2024 Bonds,Fire Station #57,2027,2027,10,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,30,2024 Bonds,Fire Station #6,2027,2027,7,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,30,2024 Bonds,Fire Station #8 - Electrical,2026,2026,2,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,30,2024 Bonds,Fire Station #8 - HVAC,2026,2026,2,0,16478,0,0,16478,0,
2024,Fire Protection Facilities,30,Other GO CIP - Debt,Fire Station 41 Replacement,,,13,7474067,7474067,0,0,0,0,
2024,Fire Protection Facilities,30,2006 Bonds,Fire Station Improvements - Generators,2024,2024,Citywide,278510,457637,179127,0,0,0,
2024,Fleet/Equipment Replacement,30,Other GO CIP - Debt,Fleet/Equipment Replacement,2024,2024,Citywide,24646327,25000000,353674,0,0,0,
2024,Fleet/Equipment Replacement,30,Other GO CIP - Debt,Fleet/Equipment Replacement - EBS,2024,2024,Citywide,3786780,3862422,75642,0,0,0,
2024,Major Maintenance,30,Other GO CIP - Non-Debt,FY21-22 Mid-Year Projects,2024,2024,Citywide,3294015,6151861,2857846,0,0,0,
2024,Fleet/Equipment Replacement,30,Other GO CIP - Debt,FY22 EAN-EFM General Fleet Replacement,2024,2024,Citywide,7894814,8200000,305186,0,0,0,
2024,Fleet/Equipment Replacement,30,Other GO CIP - Debt,FY23 EAN-EFM Fleet-Equipment Replacement,2024,2024,Citywide,8199747,8200000,253,0,0,0,
2024,Major Maintenance,30,Other GO CIP - Non-Debt,General Capital Reserve,2024,2024,Citywide,9425249,17425249,8000000,0,0,0,
2024,Major Maintenance,31,Other GO CIP - Non-Debt,General Capital Reserve Transfer to Capital,2024,2024,Citywide,41379000,38379000,-3000000,0,0,0,
2024,Fleet/Equipment Replacement,31,Other GO CIP - Debt,General Fleet,2024,2024,Citywide,5536557,5637646,101089,0,0,0,
2024,Homeless Housing Services,31,2024 Bonds,Homeless Assistance - CDSF Project-CD1 (Prop I),2026,2027,1,0,1000000,0,0,250000,750000,
2024,Homeless Housing Services,31,2024 Bonds,Homeless Assistance - CDSF Project- CD10 (Prop I),2026,2027,10,0,500000,0,0,125000,375000,
2024,Homeless Housing Services,31,2024 Bonds,Homeless Assistance - CDSF Project- CD13 (Prop I),2026,2027,13,0,1000000,0,0,250000,750000,
2024,Homeless Housing Services,31,2024 Bonds,Homeless Assistance - CDSF Project-CD2 (Prop I),2026,2027,2,0,1000000,0,0,250000,750000,
2024,Homeless Housing Services,31,2024 Bonds,Homeless Assistance - CDSF Project-CD7 (Prop I),2026,2027,7,0,4500000,0,0,1125000,3375000,
2024,Homeless Housing Services,31,2024 Bonds,Homeless Assistance - CDSF Project-CD9 (Prop I),2026,2027,9,0,2500000,0,0,625000,1875000,
2024,Major Maintenance,31,2024 Bonds,HVAC and generator at The Bridge,2025,2025,Citywide,0,1800000,0,1800000,0,0,
2024,Technology,31,Other GO CIP - Debt,IT Infrastructure,2025,2027,Citywide,0,4875000,0,975000,975000,2925000,
2024,Technology,31,Other GO CIP - Debt,IT Investments,2024,2024,Citywide,7247253,24390100,17142847,0,0,0,
2024,Technology,31,Other GO CIP - Debt,IT Network Equipment,2025,2027,Citywide,0,10500000,0,2100000,2100000,6300000,
2024,Technology,31,Other GO CIP - Debt,IT Network Equipment 1/5 Annual Replacement,2024,2024,Citywide,0,2100000,2100000,0,0,0,
2024,Technology,32,Other GO CIP - Debt,IT Security Equipment,2025,2027,Citywide,0,2000000,0,400000,400000,1200000,
2024,Technology,32,Other GO CIP - Debt,IT Security Equipment 1/5 Annual Replacement,2024,2024,Citywide,0,400000,400000,0,0,0,
2024,Cultural Facilities,32,2024 Bonds,Kalita Humphreys Theater,2027,2027,14,0,8983794,0,0,0,8983794,
2024,Cultural Facilities,32,2024 Bonds,Kleberg-Rylie Library,2025,2025,8,0,262000,0,262000,0,0,
2024,Cultural Facilities,32,2024 Bonds,Lakewood Library,2025,2025,14,0,262000,0,262000,0,0,
2024,Technology,32,Other GO CIP - Debt,Laptop/Desktop 1/5 Annual Replacement,2024,2024,Citywide,0,2250000,2250000,0,0,0,
2024,Technology,32,Other GO CIP - Debt,Laptop/Desktop Annual Replacement,2025,2027,Citywide,0,11250000,0,2250000,2250000,6750000,
2024,Cultural Facilities,32,Other GO CIP - Debt,Latino Cultural Center,2024,2027,14,0,4130473,97117,0,403336,3630020,
2024,Cultural Facilities,32,2024 Bonds,Library Signage - CDSF Project-CD4 (Prop D),2025,2025,4,0,30000,0,30000,0,0,
2024,Cultural Facilities,32,2024 Bonds,Majestic Theatre,2027,2027,14,0,8344274,0,0,0,8344274,
2024,Major Maintenance,32,Other GO CIP - Non-Debt,Major Maintenance and Repairs - BSD,2024,2027,Citywide,5551445,59434348,3382904,11000000,11000000,28500000,
2024,Major Maintenance,32,Other GO CIP - Non-Debt,Major Maintenance and Repairs FY21,2024,2024,Citywide,5583934,5583991,57,0,0,0,
