cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,year_2021,year_2022,year_2023,project_total,start_year,end_year
2020,35,Flood Protection And Storm Drainage,Ash Creek - S Fork Channel Imprv at John West,Storm Drainage Relief System,Other GO CIP - Non-Debt,1,-,0,243500,0,243500,2022,2022
2020,35,Flood Protection And Storm Drainage,"Baymar Lane, 6201",Erosion Control,2017 Bonds,12,6/28/2022,172370,0,0,172370,2021,2021
2020,35,Flood Protection And Storm Drainage,Beckley @ Coombs Creek Drainage Study,Storm Drainage Relief System,Other GO CIP - Non-Debt,12,5/31/2021,0,125000,0,125000,2022,2022
2020,35,Flood Protection And Storm Drainage,"Bent Creek Detention Basin, Dredging",Storm Drainage Relief System,Other GO CIP - Non-Debt,1,6/28/2022,0,86800,0,86800,2022,2022
2020,35,Flood Protection And Storm Drainage,"Betty Jane, 10225",Erosion Control,2017 Bonds,13,6/28/2022,0,197000,0,197000,2022,2022
2020,35,Flood Protection And Storm Drainage,Bonnie View over Five Mile Creek,Stormwater Drainage Management,2017 Bonds,8,8/2/2022,100000,455096,0,555096,2021,2022
2020,35,Flood Protection And Storm Drainage,"Brittania Way, 8470- 8506, Erosion Control Pilot",Erosion Control,2017 Bonds,10,6/28/2022,232719,0,0,232719,2021,2021
2020,35,Flood Protection And Storm Drainage,Brookshire Dr From Orchid Ln To Brookshire Cir,Stormwater Drainage Management,Other GO CIP - Non-Debt,11,8/20/2023,0,0,2300000,2300000,2023,2023
2020,35,Flood Protection And Storm Drainage,"Brushy Creek Trail, 5719",Erosion Control,2017 Bonds,12,6/28/2022,271612,0,0,271612,2021,2021
2020,35,Flood Protection And Storm Drainage,Cedar Creek Bridge @ Clarendon,Storm Drainage Relief System,Other GO CIP - Non-Debt,-,-,0,281000,0,281000,2022,2022
2020,35,Flood Protection And Storm Drainage,Cedar Creek Bridge @ Moore,Storm Drainage Relief System,Other GO CIP - Non-Debt,-,-,0,147600,0,147600,2022,2022
2020,35,Flood Protection And Storm Drainage,Chalkhill Branch - I30/Loop 12 Interchange,Stormwater Drainage Management,2017 Bonds,6,10/11/2022,688592,0,0,688592,2021,2021
2020,36,Flood Protection And Storm Drainage,Channel - Major Maintenance,Stormwater Drainage Management,Other GO CIP - Non-Debt,Citywide,9/30/2024,0,200000,250000,450000,2022,2023
2020,36,Flood Protection And Storm Drainage,"Claren Court 7106, 7110, 7114",Erosion Control,2017 Bonds,12,6/28/2022,149076,0,0,149076,2021,2021
2020,36,Flood Protection And Storm Drainage,Clearbrook Lane 10500 Blk,Erosion Control,2017 Bonds,9,5/15/2020,129259,0,0,129259,2021,2021
2020,36,Flood Protection And Storm Drainage,"Clubcreek Circle 8903, 8907, 8911",Erosion Control,2017 Bonds,10,6/28/2022,100000,656172,0,756172,2021,2022
2020,36,Flood Protection And Storm Drainage,Coombs Creek - Hampton to Davis [coordinate with adjacent trail],Erosion Control,2017 Bonds,1,5/10/2022,525000,0,0,525000,2021,2021
2020,36,Flood Protection And Storm Drainage,Council District 10,Flood Management,2017 Bonds,7,10/3/2023,0,1000000,0,1000000,2022,2022
2020,36,Flood Protection And Storm Drainage,Country Brook Pond Improvements,Stormwater Drainage Management,2017 Bonds,13,7/15/2022,91144,0,0,91144,2021,2021
2020,36,Flood Protection And Storm Drainage,Creek Bend Road 7028,Stormwater Drainage Management,2017 Bonds,Citywide,TBD,73515,0,0,73515,2021,2021
2020,36,Flood Protection And Storm Drainage,Cypress Branch @ Jennie Lee,Stormwater Drainage Management,2017 Bonds,7,10/3/2023,164700,0,18300,183000,2021,2023
2020,36,Flood Protection And Storm Drainage,"Deep Hill Circle 2625, 2641, 2663, 2667, 2687, 2691",Stormwater Drainage Management,2017 Bonds,3,5/10/2022,97120,1091140,0,1188260,2021,2022
2020,36,Flood Protection And Storm Drainage,Dredge Maintenance,Storm Drainage Relief System,Other GO CIP - Non-Debt,Citywide,N/A,0,200000,200000,400000,2022,2023
2020,36,Flood Protection And Storm Drainage,"El Cerrito Storm Drainage, 2470",Stormwater Drainage Management,2017 Bonds,7,8/2/2022,170218,0,0,170218,2021,2021
2020,36,Flood Protection And Storm Drainage,"El Cerrito, 2420, 2460, 2522",Stormwater Drainage Management,2017 Bonds,7,12/31/2021,446148,0,0,446148,2021,2021
2020,36,Flood Protection And Storm Drainage,Elam Creek Voluntary Purchase (1 home),Stormwater Drainage Management,Other GO CIP - Non-Debt,5,10/1/2021,146050,0,0,146050,2021,2021
2020,36,Flood Protection And Storm Drainage,Emergency Pipe Repairs - Major Maint. of collapsed pipe in critical areas,Stormwater Drainage Management,Other GO CIP - Non-Debt,Citywide,10/1/2024,250000,250000,250000,750000,2021,2023
2020,36,Flood Protection And Storm Drainage,"Fair Oaks Crossing, 8555",Storm Drainage Relief System,Other GO CIP - Non-Debt,10,-,42000,0,238000,280000,2021,2023
2020,36,Flood Protection And Storm Drainage,"Fair Oaks Detention Basin, Dredging",Storm Drainage Relief System,Other GO CIP - Non-Debt,13,5/31/2021,0,691840,0,691840,2022,2022
2020,36,Flood Protection And Storm Drainage,Flood Management Area - Major Maintenance,Stormwater Drainage Management,Other GO CIP - Non-Debt,Citywide,9/30/2024,250000,250000,250000,750000,2021,2023
2020,36,Flood Protection And Storm Drainage,Forest Ridge 9700 Block-Chiswell 9600 Block,Stormwater Drainage Management,2017 Bonds,5,5/10/2022,200000,1322245,0,1522245,2021,2022
2020,36,Flood Protection And Storm Drainage,Fort Worth Avenue @ Vilbig,Stormwater Drainage Management,2017 Bonds,6,10/11/2022,169484,0,0,169484,2021,2021
2020,36,Flood Protection And Storm Drainage,"Fox Hollow Lake, Dredging",Storm Drainage Relief System,Other GO CIP - Non-Debt,3,5/31/2021,0,106764,0,106764,2022,2022
2020,37,Flood Protection And Storm Drainage,Gabion - Major Maintenance,Stormwater Drainage Management,Other GO CIP - Non-Debt,Citywide,9/30/2024,250000,250000,200000,700000,2021,2023
2020,37,Flood Protection And Storm Drainage,Gifford-Roanoke Area Relief System - Phase II/Brookhollow Bridge,Stormwater Drainage Management,2017 Bonds,2,10/11/2022,0,1450580,0,1450580,2022,2022
2020,37,Flood Protection And Storm Drainage,"Greendale 1721, 1716",Stormwater Drainage Management,2017 Bonds,5,10/3/2023,50000,0,55000,105000,2021,2023
2020,37,Flood Protection And Storm Drainage,Greenspan - Kirnwood Area,Stormwater Drainage Management,2017 Bonds,8,8/2/2022,0,455802,0,455802,2022,2022
2020,37,Flood Protection And Storm Drainage,Guildhall-McCree Storm Drainage Relief System,Stormwater Drainage Management,Other GO CIP - Non-Debt,"10, Citywide",9/6/2022,426140,0,0,426140,2021,2021
2020,37,Flood Protection And Storm Drainage,Hampton Gate,Stormwater Drainage Management,2017 Bonds,6,9/15/2022,0,21279,478721,500000,2022,2023
2020,37,Flood Protection And Storm Drainage,Hatfield Branch @ Seagoville Channel improvements,Stormwater Drainage Management,2017 Bonds,5,10/3/2023,200000,0,287000,487000,2021,2023
2020,37,Flood Protection And Storm Drainage,Hearne @ Commerce,Stormwater Drainage Management,2017 Bonds,6,10/11/2022,209512,0,0,209512,2021,2021
2020,37,Flood Protection And Storm Drainage,Highgrove Area Drainage Relief System,Storm Drainage Relief System,Other GO CIP - Non-Debt,6,5/31/2021,0,415500,0,415500,2022,2022
2020,37,Flood Protection And Storm Drainage,"Highland Road, 2447",Stormwater Drainage Management,2017 Bonds,7,10/3/2023,75000,0,120000,195000,2021,2023
2020,37,Flood Protection And Storm Drainage,"Hillside Drive, 3604",Erosion Control,2017 Bonds,9,5/15/2020,129351,0,0,129351,2021,2021
2020,37,Flood Protection And Storm Drainage,"Holliday, 3445, 3449, 3605, 3621",Storm Drainage Relief System,Other GO CIP - Non-Debt,Citywide,-,0,109133,0,109133,2022,2022
2020,37,Flood Protection And Storm Drainage,"Hollow Ridge, 4804",Stormwater Drainage Management,2017 Bonds,7,10/3/2023,165000,0,185000,350000,2021,2023
2020,37,Flood Protection And Storm Drainage,"Homer Street, 3215",Stormwater Drainage Management,2017 Bonds,14,10/11/2022,121800,0,0,121800,2021,2021
2020,37,Flood Protection And Storm Drainage,Hughes Lane - Kalani Place,Stormwater Drainage Management,2017 Bonds,10,5/10/2022,713396,0,0,713396,2021,2021
2020,37,Flood Protection And Storm Drainage,Joe's Creek - TXU ROW and 3900 Block Vinecrest,Erosion Control,2017 Bonds,13,6/28/2022,301783,0,0,301783,2021,2021
2020,37,Flood Protection And Storm Drainage,Joe's Creek West Fork Bridge @ Walnut Hill,Stormwater Drainage Management,2017 Bonds,6,10/3/2023,275000,0,195000,470000,2021,2023
2020,37,Flood Protection And Storm Drainage,Junius Street @Baylor University Medical Center,Stormwater Drainage Management,2017 Bonds,2,10/11/2022,720671,0,0,720671,2021,2021
2020,37,Flood Protection And Storm Drainage,"Keeton Park Lake, Dredging",Storm Drainage Relief System,Other GO CIP - Non-Debt,-,-,0,671832,0,671832,2022,2022
2020,37,Flood Protection And Storm Drainage,Kiest Boulevard W. 2901,Stormwater Drainage Management,Other GO CIP - Non-Debt,3,6/28/2022,0,50400,0,50400,2022,2022
2020,37,Flood Protection And Storm Drainage,"Kiest, 2412",Stormwater Drainage Management,Other GO CIP - Non-Debt,-,-,0,50400,0,50400,2022,2022
2020,38,Flood Protection And Storm Drainage,"Kiesthill (3407, 3411, 3431), Kiest Crest (3610), & Kiest Forest (3408, 3316)",Storm Drainage Relief System,Other GO CIP - Non-Debt,-,-,0,194880,1129120,1324000,2022,2023
