cip_year,project_type,source_page,department,project_name,start_year,end_year,previous_appropriations,project_total,year_2008,year_2009,year_2010,year_2011
2007,Municipal Courts Facilities,35,City Facilities,Municipal Courts Building,2009,2010,0,7843670,0,1176550,1568734,5098386
2007,Major Maintenance - Public Safety,35,City Facilities,North Central Police Substation,2009,2009,195000,753000,0,558000,0,0
2007,Major Maintenance - City Facilities,36,City Facilities,North Central Service Center,2009,2009,0,750429,0,750429,0,0
2007,Major Maintenance - Library,36,City Facilities,North Oak Cliff Branch Library,2010,2010,510520,662920,0,0,152400,0
2007,Major Maintenance - Library,36,City Facilities,North Oak Cliff Branch LIbrary,2010,2010,0,284480,0,0,284480,0
2007,Code Compliance Safety and Security,36,City Facilities,Northeast Code Compliance,2009,2009,0,1200000,0,1200000,0,0
2007,Major Maintenance - Public Safety,36,City Facilities,Northeast Police Substation,2009,2009,788645,1170045,0,381400,0,0
2007,Solid Waste Facilities,36,City Facilities,Northeast Transfer Station,2008,2008,0,58864,58864,0,0,0
2007,Major Maintenance - Public Safety,36,City Facilities,Northwest Police Substation,,,0,124270,0,0,0,124270
2007,Solid Waste Facilities,36,City Facilities,Northwest Transfer Station,2008,2008,0,681520,681520,0,0,0
2007,Major Maintenance - City Facilities,37,City Facilities,Oak Cliff Municipal Center,2009,2009,0,221000,0,221000,0,0
2007,Major Maintenance - Library,37,City Facilities,Oak Lawn Branch Library,,,34907,34907,0,0,0,0
2007,Major Maintenance - City Facilities,37,City Facilities,Old Bathhouse at White Rock Lake,,,40000,40000,0,0,0,0
2007,Major Maintenance - City Facilities,37,City Facilities,Old City Hall - 2014 Main,2008,2008,0,380000,380000,0,0,0
2007,Major Maintenance - Library,37,City Facilities,Park Forest Branch Library,2009,2010,11430,5553837,0,5003607,538800,0
2007,Major Maintenance - City Facilities,37,City Facilities,People Helping People,2010,2010,0,100330,0,0,100330,0
2007,Major Maintenance - City Facilities,37,City Facilities,Petroleum Storage Tanks,,,202154,202154,0,0,0,0
