cip_year,source_page,department,project_name,project_id,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2020,year_2021,year_2022,project_total,start_year,end_year
2019,153,Street & Transportation,St Francis Ave from Ralph Ln to S Buckner Blvd,V783,Street Resurfacing,2017 General Obligation Bond Program,7,9/30/19,299175,299175,0,0,0,0,299175,,
2019,153,Street & Transportation,St Francis Ave from San Leandro Dr to Barbaree Blvd,V759,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/19,117066,117066,0,0,0,0,117066,,
2019,153,Street & Transportation,St Paul [S]-Gano To 250FT South,R505,Street Reconstruction,2003 General Obligation Bond Program,2,Ongoing,131238,131039,199,0,0,0,131238,,
2019,153,Street & Transportation,Stagecoach Trl from Maxine Dr to Stagecoach Cir,V459,Street Resurfacing,2017 General Obligation Bond Program,8,9/30/19,38775,38775,0,0,0,0,38775,,
2019,153,Street & Transportation,Stagecoach Trl from McLarty Dr to Sebring Dr,V534,Street Resurfacing,2017 General Obligation Bond Program,8,9/30/19,37300,37300,0,0,0,0,37300,,
2019,153,Street & Transportation,State St from Routh St to Boll St,V789,Street Resurfacing,2017 General Obligation Bond Program,14,9/30/21,0,0,0,0,55550,0,55550,2021,2021
2019,153,Street & Transportation,Stefani Dr from Hillcrest Rd to Boedeker St,V392,Street Resurfacing,2017 General Obligation Bond Program,13,9/30/20,0,0,0,348025,0,0,348025,2020,2020
2019,153,Street & Transportation,Stella Ave from S Corinth St to Cedar Crest Blvd,V916,Street Resurfacing,2017 General Obligation Bond Program,4,9/30/19,0,0,0,124349,0,0,124349,2020,2020
2019,153,Street & Transportation,Steuben Ct from Preston Trail Dr to Steuben Ct,V657,Street Resurfacing,2017 General Obligation Bond Program,11,9/30/20,0,0,0,122075,0,0,122075,2020,2020
2019,153,Street & Transportation,Strathmore Dr from E Northwest Pkwy to Flicker Ln,V550,Street Resurfacing,2017 General Obligation Bond Program,10,9/30/18,152018,152018,0,0,0,0,152018,,
2019,154,Street & Transportation,Strathmore Dr from Flicker Ln to Kingspoint Dr,V606,Street Resurfacing,2017 General Obligation Bond Program,10,9/30/19,51622,51622,0,0,0,0,51622,,
2019,154,Street & Transportation,Street Lights At Parkdale Dr And Lawnview Ave,V177,Street and Alley Improvements,2017 General Obligation Bond Program,7,12/31/21,16000,0,16000,0,0,0,16000,,
2019,154,Street & Transportation,Street Lights Wendelkin St,V178,Street and Alley Improvements,2017 General Obligation Bond Program,7,12/31/21,112000,0,112000,0,0,0,112000,,
2019,154,Street & Transportation,Street Lights Within Claremont Neighborhood,V179,Street and Alley Improvements,2017 General Obligation Bond Program,7,12/31/21,120000,0,120000,0,0,480000,600000,2022,2022
2019,154,Street & Transportation,Summit Ave from Alta Ave to Sears St,V490,Street Resurfacing,2017 General Obligation Bond Program,2,9/30/19,72785,0,72785,0,0,0,72785,,
