cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2023,year_2024,currency_unit
2023,Flood Management,93,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Joe's Creek West Fork Bridge @ Walnut Hill,VD47,,,2025,,,470000.0,470000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,93,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"Keeton Park Lake, Dredging",W412,,,2024,,,790798.0,790798.0,0.0,0.0,$K
2023,Stormwater Drainage Management,94,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Kidd Springs Branch @ Colorado,W754,,,,,,0.0,3310000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,94,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Kidd Springs Tunnel Rehabilitation,W854,,,2025,,,36000.0,336000.0,300000.0,0.0,$K
2023,Stormwater Drainage Management,94,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Kiest Boulevard W. 2412,W234,,,2023,,,383381.0,575781.0,192400.0,0.0,$K
2023,Stormwater Drainage Management,94,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"Kiesthill (3425, 3407, 3411, 3431), Kiest Crest (3610), Kiest (3327, 3335, 3419), and Kiest Crest",W414,,,2026,,,3553750.0,3553750.0,0.0,0.0,$K
2023,Erosion Control,94,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Kiltartan 1511,S735,,,2025,,,1140750.0,1140750.0,0.0,0.0,$K
2023,Stormwater Drainage Management,94,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Kiltartan 1519,W755,,,2025,,,33600.0,224000.0,190400.0,0.0,$K
2023,Flood Management,94,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Kings Branch @ Genoa,VD61,,,2024,,,262000.0,262000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,94,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Kings Branch Culvert @ Genoa,VD61,,,2024,,,627202.0,627202.0,0.0,0.0,$K
2023,Flood Management,94,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Kings Branch Culvert @ Stella,VD58,,,2024,,,192000.0,192000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,94,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Kings Branch Culvert @ Stella,VD58,,,2024,,,671403.0,671403.0,0.0,0.0,$K
2023,Stormwater Drainage Management,95,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Knight Street 2426 & 2428,W757,,,,,,0.0,1405000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,95,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Knights Branch Upper Relief System Phase 2,W855,,,,,,0.0,2400000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,95,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Knights Branch Upper Relief System Study,W756,,,,,,0.0,565000.0,0.0,0.0,$K
