cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,description,justification,unidentified_funding,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
2018,Bldg - Pub Safety - Fire Fac / Struct,138,Fire-Rescue,Fire Station No. 48 - Black Mountain Ranch,2019,2019,Council District: 5; Community Plan: Black Mountain Ranch,2700000,0,,,0,6695654,0,0,0,0,0
2018,Bldg - Pub Safety - Fire Fac / Struct,139,Fire-Rescue,Fire Station No. 49 - Otay Mesa,2024,2024,Council District: 8; Community Plan: Otay Mesa - Nestor; Otay Mesa,76413,0,,,0,0,0,0,0,0,8323586
2018,Bldg - Pub Safety - Fire Fac / Struct,140,Fire-Rescue,Fire Station No. 50 - North University City,,,Council District: 1; Community Plan: University,13999999,0,,,0,0,0,0,0,0,0
2018,Bldg - Pub Safety - Fire Fac / Struct,141,Fire-Rescue,Fire Station No. 51 - Skyline Hills,,,Council District: 4; Community Plan: Skyline - Paradise Hills,1000000,0,,,12890957,0,0,0,0,0,0
2018,Bldg - Pub Safety - Fire Fac / Struct,142,Fire-Rescue,Fire Station No. 54 - Paradise Hills,,,Council District: 4; Community Plan: Skyline - Paradise Hills,83653,0,,,13216346,0,0,0,0,0,0
2018,Bldg - Pub Safety - Fire Fac / Struct,143,Fire-Rescue,Fire-Rescue Air Operations Facility,2020,2020,Council District: 6; Community Plan: Kearny Mesa,16058696,0,,,0,0,1115520,0,0,0,0
2018,Bldg - Pub Safety - Fire Fac / Struct,144,Fire-Rescue,Fairmount Avenue Fire Station,,,Council District: 4; Community Plan: Mid-City: City Heights,2327795,0,,,13822205,0,0,0,0,0,0
2018,Bldg - Pub Safety - Lifeguard Stations,145,Fire-Rescue,La Jolla Cove Lifeguard Station,,,Council District: 1; Community Plan: La Jolla,1784844,0,,,0,0,0,0,0,0,0
2018,Bldg - Pub Safety - Lifeguard Stations,146,Fire-Rescue,North Pacific Beach Lifeguard Station,,,Council District: 2; Community Plan: Pacific Beach,937902,0,,,6319697,0,0,0,0,0,0
2018,Bldg - Pub Safety - Lifeguard Stations,147,Fire-Rescue,South Mission Beach Lifeguard Station,,,Council District: 2; Community Plan: Mission Beach,6982125,0,,,0,0,0,0,0,0,0
2018,Bldg - Libraries,156,Library,Mission Hills-Hillcrest Library,,,Council District: 3; Community Plan: Uptown,21132004,0,,,0,0,0,0,0,0,0
2018,Bldg - Libraries,157,Library,Pacific Highlands Ranch Branch Library,2019,2024,Council District: 1; Community Plan: Priority Category: Low,11678336,0,,,500846,774915,0,0,0,0,8885080
2018,Bldg - Libraries,158,Library,San Carlos Branch Library,,,Council District: 7; Community Plan: Navajo,2995799,0,,,20128201,0,0,0,0,0,0
2018,Bldg - Libraries,159,Library,San Diego New Central Library,,,Council District: 3; Community Plan: Centre City,187637421,0,,,0,0,0,0,0,0,0
2018,Bldg - Libraries,160,Library,San Ysidro Branch Library,,,Council District: 8; Community Plan: San Ysidro,13536999,0,,,0,0,0,0,0,0,0
2018,Bldg - Libraries,161,Library,Scripps Miramar Ranch Library,,,Council District: 5; Community Plan: Scripps Miramar Ranch,6076376,0,,,0,0,0,0,0,0,0
2018,Bldg - Libraries,162,Library,Skyline Hills Library,,,Council District: 4; Community Plan: Skyline - Paradise Hills,13590879,0,,,0,0,0,0,0,0,0
2018,Bldg - Libraries,163,Library,Tierrasanta Library Expansion,2019,2019,Council District: 7; Community Plan: Tierrasanta,1258999,0,,,0,360000,0,0,0,0,0
2018,Parks - Miscellaneous Parks,176,Parks & Recreation,Angier Elementary School Joint Use,,,Council District: 7; Community Plan: Serra Mesa,2671574,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,177,Parks & Recreation,Mira Mesa CP Expansion Phase I,,,Council District: 6; Community Plan: Mira Mesa,16839505,0,,,0,0,0,0,0,0,0
2018,Golf Courses,178,Parks & Recreation,Balboa Park Golf Course,,,Council District: 3; Community Plan: Balboa Park; Mission Bay Park; University,1044503,0,,,0,0,0,0,0,0,0
2018,Parks - Developed Regional Park,179,Parks & Recreation,Balboa Park Plaza de Panama Project,2019,2019,Council District: 3; Community Plan: Balboa Park,9999999,0,,,0,69000000,0,0,0,0,0
2018,B l d g - Other City Facility / Structures,180,Parks & Recreation,Balboa Park West Mesa Comfort Station Replacement,,,Council District: 3; Community Plan: Balboa Park,1892573,0,,,0,0,0,0,0,0,0
2018,Bldg - Parks - Recreation/Pool Centers,181,Parks & Recreation,Balboa Pk Bud Kearns Aquatic Complex Imp,2020,2020,Council District: 3; Community Plan: Balboa Park,1543999,0,,,1228417,0,593127,0,0,0,0
2018,Parks - Community,182,Parks & Recreation,Bay Terrace Senior Center,2019,2019,Council District: 4; Community Plan: Skyline - Paradise Hills,999999,0,,,0,5000000,0,0,0,0,0
2018,Parks - Community,183,Parks & Recreation,Beyer Park Development,,,Council District: 8; Community Plan: Otay Mesa; San Ysidro,1138572,0,,,11149427,0,0,0,0,0,0
2018,Parks - Resource Based,184,Parks & Recreation,Museum of Man Seismic Retrofit,2019,2023,Council District: 3; Community Plan: Balboa Park,2328660,0,,,0,1399999,300000,0,0,2800000,0
2018,Parks - Miscellaneous Parks,185,Parks & Recreation,Canon Street Pocket Park,,,Council District: 2; Community Plan: Peninsula,839999,0,,,550000,0,0,0,0,0,0
2018,Parks - Resource Based,186,Parks & Recreation,Canyon Hills Resource Park Improvements,,,Council District: 6; Community Plan: Mira Mesa,1718569,0,,,4454932,0,0,0,0,0,0
2018,Parks - Community,187,Parks & Recreation,Canyonside Community Park Improvements,,,Council District: 6; Community Plan: Rancho Penasquitos,1001125,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,188,Parks & Recreation,Carmel Creek NP Improvements,,,Council District: 1; Community Plan: Carmel Valley,1468922,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,189,Parks & Recreation,Carmel Del Mar NP Comfort Station-Development,,,Council District: 1; Community Plan: Carmel Valley,2184588,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,190,Parks & Recreation,Carmel Grove NP Comfort Station and Park,,,Council District: 1; Community Plan: Carmel Valley,1561531,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,191,Parks & Recreation,Carmel Knolls NP Comfort Station-Development,,,Council District: 1; Community Plan: Carmel Valley,978728,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,192,Parks & Recreation,Carmel Mission NP Comfort Station Development,,,Council District: 1; Community Plan: Carmel Valley,978728,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,193,Parks & Recreation,Carmel Valley CP-Turf Upgrades,,,Council District: 1; Community Plan: Carmel Valley,4274120,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,194,Parks & Recreation,Carmel Valley Neighborhood Park #8,,,Council District: 1; Community Plan: Carmel Valley,6630525,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,195,Parks & Recreation,Centrum Neighborhood Pk Improvements,,,Council District: 6; Community Plan: Kearny Mesa,999999,0,,,0,0,0,0,0,0,0
2018,Parks - Community,196,Parks & Recreation,Cesar Solis Community Park,,,Council District: 8; Community Plan: Otay Mesa,20980078,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,197,Parks & Recreation,Charles Lewis III Memorial Park,,,Council District: 9; Community Plan: Mid-City: City Heights,4438911,0,,,0,0,0,0,0,0,0
2018,Parks - Developed Regional Park,198,Parks & Recreation,Chicano Park ADA Upgrades,,,Council District: 8; Community Plan: Barrio Logan,1900835,0,,,0,0,0,0,0,0,0
2018,Bldg - Community Centers,199,Parks & Recreation,Chicano Park Recreation Center,2019,2019,Council District: 8; Community Plan: Barrio Logan,0,0,,,0,600000,0,0,0,0,0
2018,Parks - Miscellaneous Parks,200,Parks & Recreation,Children's Park Improvements,,,Council District: 3; Community Plan: Centre City,4799999,0,,,0,0,0,0,0,0,0
2018,Parks - Community,201,Parks & Recreation,Chollas Community Park Comfort Station,2019,2019,Council District: 4; Community Plan: Mid-City: Eastern Area,3360838,0,,,0,226631,0,0,0,0,0
2018,Parks - Community,202,Parks & Recreation,Chollas Lake Improvements,2019,2022,Council District: 4; Community Plan: Mid-City: Eastern Area,199999,0,,,0,350000,0,1000000,500000,0,0
2018,Parks - Community,203,Parks & Recreation,Chollas Lake Pk Playground Improvements,,,Council District: 4; Community Plan: Mid-City: Eastern Area,2629223,0,,,0,0,0,0,0,0,0
2018,Trans - Ped Fac - Sidewalks,204,Parks & Recreation,Coast Blvd Walkway Improvements,,,Council District: 1; Community Plan: La Jolla,928999,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,205,Parks & Recreation,Coastal Erosion and Access,2020,2023,Council District: Citywide; Community Plan: Balboa Park,2998580,0,,,0,0,500000,500000,0,100000,0
2018,Trans - Roadway - Enhance/Scape/Medians,206,Parks & Recreation,Convert RB Medians-Asphalt to Concrete,2019,2019,Council District: 5; Community Plan: Rancho Bernardo,558764,0,,,0,150000,0,0,0,0,0
2018,Parks - Open Space,207,Parks & Recreation,Crest Canyon Resource Management Plan,,,Council District: 1; Community Plan: Torrey Pines,75000,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,208,Parks & Recreation,Del Mar Mesa Neighborhood Park,,,Council District: 1; Community Plan: Del Mar Mesa,3060353,0,,,0,0,0,0,0,0,0
2018,P a r k s - Neighborhood,209,Parks & Recreation,Del Sur Neighborhood Park (NP#2)-Land Acquisition,,,Council District: 5; Community Plan: Black Mountain Ranch,350000,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,210,Parks & Recreation,Dennery Ranch Neighborhood Park,2019,2024,Council District: 8; Community Plan: Otay Mesa,690903,0,,,0,6703803,0,0,0,0,7705294
2018,Parks - Miscellaneous Parks,211,Parks & Recreation,Downtown Greenways,,,Council District: 3; Community Plan: Centre City,1000000,0,,,0,0,0,0,0,0,0
2018,Parks - Community,212,Parks & Recreation,Doyle Park Community Park ADA Upgrades,,,Council District: 1; Community Plan: University,420457,0,,,0,0,0,0,0,0,0
2018,Parks - Resource Based,213,Parks & Recreation,East Fortuna Staging Area Field Stn Blg,,,Council District: 7; Community Plan: Navajo,6975542,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,214,Parks & Recreation,East Village Green Phase 1,2019,2019,Council District: 3; Community Plan: Centre City - East Village,30508157,0,,,0,15516079,0,0,0,0,0
2018,Bldg - Other City Facility / Structures,215,Parks & Recreation,EB Scripps Pk Comfort Station Replacement,2019,2019,Council District: 1; Community Plan: La Jolla,1604090,0,,,0,1456694,0,0,0,0,0
2018,P a r k s - Community,216,Parks & Recreation,Egger,,,Council District: 8; Community Plan: Otay Mesa - Nestor,1659999,0,,,779886,0,0,0,0,0,0
2018,Trans - Roadway - Enhance/Scape/Medians,217,Parks & Recreation,El Cajon Blvd Streetscape Improvements,,,Council District: 3 9; Community Plan: Priority Category: Low,2422102,0,,,0,0,0,0,0,0,0
2018,Parks - Open Space,218,Parks & Recreation,El Cuervo Adobe Improvements,,,Council District: 6; Community Plan: Rancho Penasquitos,605999,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,219,Parks & Recreation,Encanto Comm Pk Security Lighting Upgrades,2019,2019,Council District: 4; Community Plan: Southeastern (Encanto Neighborhoods),404559,0,,,0,60000,0,0,0,0,0
2018,Reclaimed Water System - Pipelines,220,Parks & Recreation,Evans Pond Reclaimed Water Pipeline Inst,,,Council District: 5; Community Plan: Scripps Miramar Ranch,427466,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,221,Parks & Recreation,Fairbrook Neighborhood Park Development,,,Council District: 5; Community Plan: Scripps Miramar Ranch,4992699,0,,,0,0,0,0,0,0,0
2018,Drainage - Channels,222,Parks & Recreation,Famosa Slough Salt Marsh Creation,,,Council District: 2; Community Plan: C37 Peninsula,556396,0,,,0,0,0,0,0,0,0
2018,Golf Courses,223,Parks & Recreation,Golf Course Drive Improvements,,,Council District: 3; Community Plan: Greater Golden Hill,1091163,0,,,5050000,0,0,0,0,0,0
2018,Parks - Open Space,224,Parks & Recreation,Gonzales Canyon Resource Management Plan,,,Council District: 1; Community Plan: Pacific Highlands Ranch,59999,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,225,Parks & Recreation,Hawk Pocket Prk & Horton ES Joint UseDev,,,Council District: 4; Community Plan: Southeastern (Encanto Neighborhoods),4571105,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,226,Parks & Recreation,Hickman Fields Athletic Area,,,Council District: 6; Community Plan: Kearny Mesa; Serra Mesa; Clairemont Mesa,6839894,0,,,2720417,0,0,0,0,0,0
2018,Parks - Neighborhood,227,Parks & Recreation,Hidden Trails Neighborhood Park,2024,2024,Council District: 8; Community Plan: Otay Mesa,1533195,0,,,0,0,0,0,0,0,4316804
2018,Parks - Trails,228,Parks & Recreation,Hiking & Equestrian Trail NP #10,,,Council District: 1; Community Plan: Carmel Valley,620599,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,229,Parks & Recreation,Junipero Serra Museum ADA Improvements,2020,2022,Council District: 3; Community Plan: Old San Diego,1499999,0,,,296694,0,500000,0,1000000,0,0
2018,P a r ks - Miscellaneous Parks,230,Parks & Recreation,Kelly St Neighborhood Pk Security Lighting Upgrade,2019,2019,Council District: 7; Community Plan: Linda Vista,149999,0,,,0,40000,0,0,0,0,0
2018,Parks - Miscellaneous Parks,231,Parks & Recreation,Larsen Field ADA Improvements Phase II,,,Council District: 8; Community Plan: San Ysidro,1767059,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,232,Parks & Recreation,Linda Vista Skate Park,,,Council District: 7; Community Plan: Linda Vista,4289041,0,,,0,0,0,0,0,0,0
2018,Parks - Trails,233,Parks & Recreation,Los Penasquitos Cyn Preserve STrl Restor,,,Council District: 1; Community Plan: Los Penasquitos Canyon Preserve,87459,0,,,1865540,0,0,0,0,0,0
2018,P a r k s - Miscellaneous Parks,234,Parks & Recreation,Marie Widman Memorial Pk Security Lighting Upgrade,2019,2019,Council District: 4; Community Plan: Skyline - Paradise Hills,299999,0,,,0,175000,0,0,0,0,0
2018,Golf Courses,235,Parks & Recreation,MB GC Clbhouse Demo,,,Council District: 2; Community Plan: Mission Bay Park,1399999,0,,,2811652,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,236,Parks & Recreation,Memorial Comm Pk Playground ADA Upgrades,,,Council District: 8; Community Plan: Southeastern San Diego,2473127,0,,,0,0,0,0,0,0,0
2018,Bldg - Parks - Recreation/Pool Centers,237,Parks & Recreation,Mira Mesa Community Pk Improvements,2019,2024,Council District: 6; Community Plan: Mira Mesa,22904263,0,,,0,1463529,0,0,0,0,5972053
2018,Golf Courses,238,Parks & Recreation,MBGC Irrigation & Electrical Upgrades,,,Council District: 2; Community Plan: Mission Bay Park,4459999,0,,,0,0,0,0,0,0,0
2018,Golf Courses,239,Parks & Recreation,Mission Bay Golf Course,,,Council District: 2; Community Plan: Balboa Park; Mission Bay Park; University,826096,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,240,Parks & Recreation,Mission Bay Improvements,2019,2023,Council District: 2; Community Plan: Balboa Park,36857393,0,,,0,6591611,7734786,8149482,8572472,9003921,0
2018,Parks - Open Space,241,Parks & Recreation,Mission Trails RP Cowles Mountain Trail,2019,2019,Council District: 7; Community Plan: Navajo; Tierrasanta,299999,0,,,0,150000,0,0,0,0,0
2018,Parks - Miscellaneous Parks,242,Parks & Recreation,Mission Trails RP Master Plan Update,,,Council District: 7; Community Plan: Navajo; Tierrasanta; Rancho Encantada; East Elliott,884828,0,,,0,0,0,0,0,0,0
2018,Parks - Trails,243,Parks & Recreation,Mission Trails RP Trail Realignments,2019,2019,Council District: 7; Community Plan: Navajo; Tierrasanta,99999,0,,,0,250000,0,0,0,0,0
2018,Parks - Open Space,244,Parks & Recreation,Mohnike Adobe and Barn Restoration,,,Council District: 6; Community Plan: Los Penasquitos Canyon Preserve,1813026,0,,,1583973,0,0,0,0,0,0
2018,P a r ks - Mini Parks,245,Parks & Recreation,North Park Mini Park and Streetscape Improvements,,,Council District: 3; Community Plan: Greater North Park,3224003,0,,,0,0,0,0,0,0,0
2018,Trans - Ped Fac - Sidewalks,246,Parks & Recreation,North Park,,,Council District: 3; Community Plan: Greater North Park,634999,0,,,0,0,0,0,0,0,0
2018,Bldg - Parks - Recreation/Pool Centers,247,Parks & Recreation,NTC Aquatic Center,,,Council District: 2; Community Plan: Peninsula,1486725,0,,,8000000,0,0,0,0,0,0
2018,P arks - Community,248,Parks & Recreation,Ocean Air Comfort Station and Park Improvements,,,Council District: 1; Community Plan: Carmel Valley,1881792,0,,,0,0,0,0,0,0,0
2018,Parks - Community,249,Parks & Recreation,Ocean Air CP - Turf Upgrades,,,Council District: 1; Community Plan: Carmel Valley,6523952,0,,,0,0,0,0,0,0,0
2018,Parks - Community,250,Parks & Recreation,Olive Grove Community Park ADA Improve,,,Council District: 6; Community Plan: Clairemont Mesa,447848,0,,,1170000,0,0,0,0,0,0
2018,Parks - Mini Parks,251,Parks & Recreation,Olive St Park Acquisition and Development,,,Council District: 3; Community Plan: Uptown,3271584,0,,,0,0,0,0,0,0,0
2018,Parks - Community,252,Parks & Recreation,Pacific Highlands Ranch Community Park,,,Council District: 1; Community Plan: Pacific Highlands Ranch,37400900,0,,,0,0,0,0,0,0,0
2018,Parks - Trails,253,Parks & Recreation,Pacific Highlands Ranch Hiking & Biking,,,Council District: 1; Community Plan: Pacific Highlands Ranch,5512810,0,,,0,0,0,0,0,0,0
2018,Bldg - Other City Facility / Structures,254,Parks & Recreation,Paradise Senior Center Improvements,,,Council District: 8; Community Plan: Barrio Logan,699999,0,,,0,0,0,0,0,0,0
2018,P arks - Miscellaneous Parks,255,Parks & Recreation,Park de la Cruz Neighborhood Park Improvements,,,Council District: 9; Community Plan: Mid-City: City Heights,15141902,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,256,Parks & Recreation,Park Improvements,2019,2019,Council District: Citywide; Community Plan: Balboa Park,2258998,0,,,0,1250000,0,0,0,0,0
2018,Parks - Miscellaneous Parks,257,Parks & Recreation,Piazza Famiglia Park,,,Council District: 3; Community Plan: Centre City,1000000,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,258,Parks & Recreation,Rancho Mission Canyon Park Upgrades,,,Council District: 7; Community Plan: Navajo,2324694,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,259,Parks & Recreation,Regional Park Improvements,2019,2022,Council District: Citywide; Community Plan: Balboa Park,0,0,,,0,792635,0,0,400000,0,0
2018,Parks - Resource Based,260,Parks & Recreation,Resource-Based Open Space Parks,,,Council District: Citywide; Community Plan: Citywide,4777430,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,261,Parks & Recreation,Riviera Del Sol Neighborhood Park,,,Council District: 8; Community Plan: Otay Mesa,8970837,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,262,Parks & Recreation,Rolando Joint Use Facility Development,,,Council District: 4; Community Plan: Mid-City: Eastern Area,1219999,0,,,1030000,0,0,0,0,0,0
2018,Parks - Neighborhood,263,Parks & Recreation,Rolling Hills Neighborhood Park ADA Upgrades,,,Council District: 5; Community Plan: Rancho Penasquitos,2028181,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,264,Parks & Recreation,Sage Canyon NP Concession Bldg-Develop,,,Council District: 1; Community Plan: Carmel Valley,1310499,0,,,0,0,0,0,0,0,0
2018,Parks - Neighborhood,265,Parks & Recreation,Salk Neighborhood Park & Joint Use Devel,,,Council District: 6; Community Plan: Mira Mesa,6036685,0,,,0,0,0,0,0,0,0
2018,Parks - Community,266,Parks & Recreation,San Ysidro Community Park ADA Improvements,,,Council District: 8; Community Plan: San Ysidro,870709,0,,,0,0,0,0,0,0,0
2018,Drainage - Channels,267,Parks & Recreation,SD River Dredging Qualcomm Way to SR163,,,Council District: 7; Community Plan: C28 Mission Valley,538999,0,,,550000,0,0,0,0,0,0
2018,Parks - Neighborhood,268,Parks & Recreation,Silver Wing Pk Ballfield Lighting - Ph 2,,,Council District: 8; Community Plan: Otay Mesa - Nestor,1142759,0,,,0,0,0,0,0,0,0
2018,P arks - Miscellaneous Parks,269,Parks & Recreation,Skyline Hills Comm Pk Security Lighting Upgrades,2019,2019,Council District: 4; Community Plan: Skyline - Paradise Hills,149999,0,,,0,70000,0,0,0,0,0
2018,Parks - Community,270,Parks & Recreation,Skyline Hills Community Park ADA Improve,,,Council District: 4; Community Plan: Southeastern (Encanto Neighborhoods),2859853,0,,,0,0,0,0,0,0,0
2018,P a rks - Neighborhood,271,Parks & Recreation,Solana Highlands NP-Comfort Station Development,,,Council District: 1; Community Plan: Carmel Valley,1650265,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,272,Parks & Recreation,Southcrest Trails 252 Corr Park Imp-Ph2,,,Council District: 9; Community Plan: Southeastern San Diego,2692269,0,,,0,0,0,0,0,0,0
2018,Parks - Mini Parks,273,Parks & Recreation,Southeastern Mini Park Improvements,2020,2023,Council District: 8; Community Plan: Southeastern San Diego,2020547,0,,,0,0,3265452,75000,75000,75000,0
2018,P arks - Open Space,274,Parks & Recreation,Sunset Cliffs Natural Pk Hillside Imp Preserv Phas,,,Council District: 2; Community Plan: Peninsula,3799290,0,,,0,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,275,Parks & Recreation,Sunset Cliffs Park Drainage Improvements,2020,2023,Council District: 2; Community Plan: Peninsula,1614246,0,,,6000000,0,400000,0,1000000,600000,0
2018,Trans - Roadway - Enhance/Scape/Medians,276,Parks & Recreation,Switzer Canyon Bridge Enhancement Prog,,,Council District: 3; Community Plan: Greater North Park,74999,0,,,1225000,0,0,0,0,0,0
2018,Parks - Miscellaneous Parks,277,Parks & Recreation,Taft Joint Use Facility Development,,,Council District: 7; Community Plan: Serra Mesa,3454599,0,,,472546,0,0,0,0,0,0
2018,Trans - Roadway - Enhance/Scape/Medians,278,Parks & Recreation,Talmadge Historic Gates,,,Council District: 9; Community Plan: Mid-City: Kensington # Talmadge,453725,0,,,0,0,0,0,0,0,0
