cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,previous_appropriations,project_total,2022,2023,2024
2022,Traffic Signals,185,2017 Bonds,Traffic Signal Construction - VA40,VA40.1,2022,2023,0,10000000,7950616,"2,049,384",0
2022,Traffic Intersection Capacity & Safety Improvements,185,2017 Bonds,Traffic Signal Infrastrucure Asset Management - VA42,VA42.1,2022,2022,0,350000,350000,0,0
2022,Traffic Signals,185,2017 Bonds,Traffic Signal Installations - VA28,VA28.1,2022,2022,(2500632),0,2500632,0,0
2022,Traffic Signals,185,2017 Bonds,Traffic Signal Installations - VA28,VA28.2,2022,2023,11961716,19834150,4906231,"2,966,202",0
2022,Traffic Signals,185,2017 Bonds,Traffic Signal Synchronization Project - VA27,VA27.1,2022,2022,142500,7548725,7406225,0,0
2022,Street Resurfacing,185,2017 Bonds,Trammel Dr from Bennington Dr to Clemson Dr - V841,V841.1,,,369045,369045,0,0,0
2022,Street Resurfacing,185,2017 Bonds,Trammel Dr from Clemson Dr to E Northwest HWY - V806,V806.1,2022,2022,449059,456279,7219,0,0
2022,Street Resurfacing,186,2017 Bonds,Trammel Dr from Fisher Rd to Bennington Dr - V791,V791.1,2022,2022,637452,856857,219405,0,0
2022,Alley Reconstruction,186,2017 Bonds,Tree Shadow Trl (5902-5942) And Flintshire Ct - S307,S307.1,2022,2022,13334,12231,(1103),0,0
2022,Street Petitions,186,2017 Bonds,Trojan St. - Burma Rd. To Fellows Ln. - V185,V185.1,2022,2023,105281,1090000,(1064),"985,782",0
2022,Street Resurfacing,186,2017 Bonds,Tuscany Way from Sinclair Ave to Lippitt Ave - V818,V818.1,,,150337,150337,0,0,0
2022,Target Neighborhood,186,2017 Bonds,Upton St From I-35 E To 12th St - V995,V995.1,2023,2023,53990,1522200,0,"1,468,210",0
2022,Intergovernment al Partnership Projects,186,2017 Bonds,US 75/ Mockingbird/ Lovers Lane Pedestrian Improvements- V144,V144.1,2022,2022,0,1089679,1089679,0,0
2022,Intergovernment al Partnership Projects,186,2017 Bonds,US 75/ Mockingbird/ Lovers Lane Pedestrian Improvements- V144,V144.2,2022,2022,20459,20363,(96),0,0
2022,Intergovernment al Partnership Projects,186,2017 Bonds,UT Southwestern Medical District - V140,V140.1,2022,2023,0,7500000,3515393,"3,984,607",0
2022,Traffic Signals,186,2006 Bonds,UT Southwestern- Modifications at Inwood - W313,W313.1,2022,2022,13659,87685,74026,0,0
2022,Traffic Signals,186,Capital Projects Reimbursement,UT Southwestern- Modifications at Inwood - W313,W313.2,2022,2022,40101,36042,(4059),0,0
2022,Street Resurfacing,187,2017 Bonds,Valencia St from Sevilla St to East Grand Ave - V709,V709.1,,,112504,112504,0,0,0
2022,Intergovernment al Partnership Projects,187,2006 Bonds,Valley View-Walnut - IH-635 to City Limits - U234,U234.1,,,1067,1067,0,0,0
2022,Intergovernment al Partnership Projects,187,2017 Bonds,Valley View-Walnut - IH-635 to City Limits - U234,U234.2,2022,2022,88735,86827,(1908),0,0
2022,Street Reconstruction,187,2017 Bonds,Vanette Ln From Fitzsimmons Dr To S Marsalis Ave - V253,V253.1,2022,2023,83700,561417,(96),"477,813",0
2022,Street Resurfacing,187,2017 Bonds,Viceroy Dr from King George Dr to Regal Row - V617,V617.1,2022,2022,563578,563581,3,0,0
2022,Street Resurfacing,187,2017 Bonds,Vickery Blvd from Laneri Ave to Glencoe St - V383,V383.1,2022,2022,133148,133148,(0),0,0
2022,Street Resurfacing,187,2017 Bonds,Vinemont St from Forest Grove Dr to Easton Rd - V761,V761.1,,,139881,139881,0,0,0
2022,Street Reconstruction,187,2017 Bonds,W 12th St from Briscoe Blvd to Hampton Rd - V192,V192.1,2022,2022,75958,603981,528023,0,0
2022,Street Resurfacing,187,2017 Bonds,W Bay Cir from W Lawther Dr to Branchfield Dr - V786,V786.1,2022,2022,452080,434391,(17689),0,0
2022,Street Resurfacing,187,2017 Bonds,W University Blvd from Inwood Rd to Eastern Ave - V935,V935.1,2022,2022,412836,860887,448052,0,0
2022,Street Resurfacing,187,2017 Bonds,W University Blvd from Robin Rd to Inwood Rd - V938,V938.1,2022,2022,208439,208442,3,0,0
2022,Street Resurfacing,188,2017 Bonds,Wake Forrest Dr from Lehigh Dr to Trammel Dr - V670,V670.1,2022,2022,430356,429356,(1000),0,0
2022,Traffic Signals,188,Capital Projects Reimbursement,Walnut Hill and Lennel Traffic Signal Reconstruction - W637,W637.1,2022,2022,0,175000,175000,0,0
2022,Traffic Signals,188,2017 Bonds,Walnut Hill and White Rock Trail Signal - VA43,VA43.1,2022,2022,274299,307000,32702,0,0
2022,Traffic Signals,188,Capital Projects Reimbursement,Walnut Hill and White Rock Trail Signal Reconstruction - W639,W639.1,,,28000,28000,0,0,0
2022,Traffic Intersection Capacity & Safety Improvements,188,2017 Bonds,Walnut St at Whispering Hills - VA45,VA45.1,2022,2022,0,75000,75000,0,0
2022,Street Reconstruction,188,2017 Bonds,Waneta Dr From Robin Rd To Inwood Rd - V244,V244.1,2022,2023,58562,366471,(812),"308,721",0
2022,Street Resurfacing,188,2017 Bonds,Waterview Rd from Bondstone Dr to Classen Dr - V704,V704.1,2022,2022,75433,75436,3,0,0
2022,Thoroughfares,188,2017 Bonds,Webb Chapel Rd From Silverton Dr To Northaven Rd - V313,V313.1,2022,2023,328822,3019383,(683),"2,691,244",0
2022,Street Resurfacing,188,2017 Bonds,Weeburn Dr from Marsh Ln to Cox Ln - V694,V694.1,,,370028,370028,0,0,0
2022,Gateway,188,2017 Bonds,West Dallas Gateway - S399,S399.1,2022,2022,1639239,21336594,19697355,0,0
2022,Street Reconstruction,189,2017 Bonds,Westfield Dr From Gladwood Ln To Clearwater Dr - V272,V272.1,2022,2022,402609,534794,132185,0,0
2022,Street Reconstruction,189,2017 Bonds,Westfield Dr from Woodbrook Dr to Gladwood Ln - V221,V221.1,2022,2022,439695,575991,136296,0,0
2022,Target Neighborhood,189,2017 Bonds,Westshore - Santa Fe Trail - Alley North Of Coronado - VA07,VA07.1,2022,2023,114314,7600000,(3605),"7,489,292",0
2022,Intergovernment al Partnership Projects,189,2017 Bonds,Wheatland Road From City Limits To University Hills - V145,V145.1,2022,2022,740580,1800000,1059420,0,0
2022,Street Resurfacing,189,2017 Bonds,Whittier Ave from San Benito Way to San Leandro Dr - V767,V767.1,2022,2022,87607,80228,(7379),0,0
2022,Street Resurfacing,189,2017 Bonds,Whittier Ave from Santa Clara Dr to San Benito Way - V630,V630.1,2022,2022,144751,143747,(1004),0,0
