cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,previous_appropriations,project_total,year_2008,year_2009,year_2010,year_2011
2007,Solid Waste Facilities,34,City Facilities,McCommas Bluff Landfill - Cell #6 Construction,ROW65.4,,,4000000,4000000,0,0,0,0
2007,Solid Waste Facilities,34,City Facilities,McCommas Bluff Landfill - Heavy/Welding Shop Improvements,ROW65.5,2009,2009,0,1079183,0,1079183,0,0
2007,Major Maintenance - City Facilities,35,City Facilities,McCommas Bluff Landfill - Heavy/Welding Shop Repair Improvements,ROW65.6,2009,2009,0,412052,0,412052,0,0
2007,Major Maintenance - City Facilities,35,City Facilities,McCommas Bluff Landfill - Heavy/Welding Shop Roof Replacement,ROW65.7,2009,2009,0,327025,0,327025,0,0
2007,Solid Waste Facilities,35,City Facilities,McCommas Bluff Landfill - Landfill Construction Management,ROW65.8,,,1661628,1661628,0,0,0,0
2007,Professional Services and Debt Issuance,35,City Facilities,McCommas Bluff Landfill - Levee/Swale (Phase I),ROW65.9,,,9962562,9962562,0,0,0,0
2007,Professional Services and Debt Issuance,35,City Facilities,McCommas Bluff Landfill - Transfer to Debt Service,ROW65.10,,,8105455,8105455,0,0,0,0
2007,Major Maintenance - City Facilities,35,City Facilities,McCommas Bluff Landfill Office - Entrance Improvements,ROW65.11,2009,2009,0,294986,0,294986,0,0
2007,Major Maintenance - City Facilities,35,City Facilities,McCommas Bluff Landfill Office - Improvements,ROW65.12,2009,2009,0,750000,0,750000,0,0
2007,Major Maintenance - City Facilities,35,City Facilities,McCommas Bluff Landfill Office - Upgrades,ROW65.13,2009,2009,0,425000,0,425000,0,0
2007,Major Maintenance - Public Safety,35,City Facilities,Motorcycle Garage - Roof Replacement,ROW66.1,2008,2008,0,50000,50000,0,0,0
2007,Major Maintenance - Library,35,City Facilities,Mountain Creek Branch Library - Foundation Improvements,ROW67.1,2008,2008,0,170000,170000,0,0,0
