cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
2013,Bldg - Libraries,166,Library,Mission Hills Branch Library,,,Council District: 3; Community Plan: Uptown,3161500,3161500,"This project provides for a 20,000 square-foot library at a site adjacent to the Florence Elemen- tary School, on a block bounded by Front Street, Washington Street, Albatross Street, and University Avenue. This project will serve the Mission Hills and Hillcrest neighborhoods and is part of the 21st Century Library System/Library Department Facility Improvements Program.","The existing facility has no meeting room, computer lab, nor adequate seating and collection space to provide adequate library services to the community.",0,0,0,0,0,0,0
2013,Bldg - Libraries,167,Library,Mission Hills-Hillcrest Branch Library,2014,2019,Council District: 3; Community Plan: Uptown,0,16304500,"This project provides for a 20,000 square-foot library at a site adjacent to the Florence Elemen- tary School, on a block bounded by Front Street, Washington Street, Albatross Street, and University Avenue. This project will serve the Mission Hills and Hillcrest neighborhoods and is part of the 21st Century Library System/Library Department Facility Improvements Program.","The existing facility has no meeting room, computer lab, nor adequate seating and collection space to provide adequate library services to the community.",4054500,2250000,0,0,0,0,10000000
2013,Bldg - Libraries,168,Library,North Park Library,,,Council District: 3; Community Plan: Greater North Park,700815,14053598,"This project provides for land acquisition, planning, design, and construction of a new 25,000 square-foot library to replace the existing facility at 3795 31st Street. This project is part of the 21st Century Library System/Library Department Facility Improvements Program.",The existing facility does not have a computer lab or additional seating. A collection space would enhance service to the community.,13352782,0,0,0,0,0,0
2013,Bldg - Libraries,169,Library,Ocean Beach Branch Library,,,Council District: 2; Community Plan: Ocean Beach,146500,8011360,"This project provides for a 15,000 square-foot library using the current site and adjacent prop- erty to serve the Ocean Beach community. This project is part of the 21st Century Library System/Library Department Facility Improvements Program.","The existing facility was originally built in 1927 and has no meeting room, computer lab, nor adequate seating and collection space to provide adequate library services to the community.",7864860,0,0,0,0,0,0
2013,Bldg - Libraries,170,Library,Otay East Library,2015,2018,Council District: 8; Community Plan: Otay Mesa,885000,15885000,"This project provides for a 15,000 square foot branch library on a three-acre site to serve the Otay Mesa/East Community.",This project will provide branch library service to the Otay Mesa/East Community for future development and population.,0,0,3500000,4700000,3600000,3200000,0
2013,Bldg - Libraries,171,Library,Paradise Hills Library,,,Council District: 4; Community Plan: Skyline - Paradise Hills,73085,8939533,"This project provides for a new 15,000 square-foot library to replace the existing facility located at 5922 Rancho Hills Drive. This project is part of the 21st Century Library System/Library Department Facil- ity Improvements Program.","The existing facility has no meeting room, computer lab, nor adequate seating and collection space to provide adequate library services to the community.",8866448,0,0,0,0,0,0
2013,Bldg - Libraries,172,Library,Rancho Bernardo Library,,,Council District: 5; Community Plan: Rancho Bernardo,37018,3504700,"This project provides for a 2,500 square-foot expansion to the existing branch library at 17110 Bernardo Center Drive. This project is part of the 21st Century Library System/Library Department Facility Improvements Program.",The existing facility does not have a computer lab. An additional seating and collection space would enhance service to the community.,3467682,0,0,0,0,0,0
2013,Bldg - Libraries,173,Library,San Carlos Branch Library,,,Council District: 7; Community Plan: Navajo,748195,9274777,"This project provides for the acquisition of a lot adjoining the existing branch library located at 7265 Jackson Drive and building a new 25,000 square-foot library. This project is part of the 21st Century Library System/Library Department Facility Improvements Program.","The existing library does not have a computer lab, meeting room, nor adequate public seating and collection space.",8526582,0,0,0,0,0,0
2013,Bldg - Libraries,174,Library,San Diego New Central Library,,,Council District: 3; Community Plan: Centre City,186470421,186470420,"This project provides for the design and construction of a new Central Library of approximately 500,000 square feet, with approximately 250 underground parking spaces dedicated to library patrons. It will be large enough to accommodate library needs for 20 years and contain expansion space to accommodate growth for an additional 30 years. The expansion space will be leased for 40 years by San Diego Unified School Dis- trict for a Charter High School. The lobby will be open to the courtyard, which will contain an outdoor café, and there will be a 350-seat auditorium adjacent to the lobby. The top floor will house special collections and pro- vide public amenities including an airy reading room, a 400-seat multi-purpose room, an art gallery, a small public meeting room, and a series of open terraces.","The existing Library is too small to provide adequate library and informational services to the library system and the region, and cannot support the technological and programmatic needs of the future.",0,0,0,0,0,0,0
2013,Bldg - Libraries,175,Library,San Ysidro Branch Library,2014,2014,Council District: 8; Community Plan: San Ysidro,2116000,12186000,"This project provides for a 15,000 square-foot facility to serve the San Ysidro Community. This project is part of the 21st Century System/Library Department Facility Improvements Program.","The existing 4,089 square foot library was built in 1924 and was remodeled in 1983. It contains no meeting rooms or computer lab, no on-site parking, and no separation of the children's area and quiet study areas to serve the current and projected needs of the community.",6185000,3885000,0,0,0,0,0
