cip_year,source_page,department,project_type,project_name,project_id,address_location,previous_appropriations,project_total,project_description,project_justification,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,start_year,end_year
2007,364,Metropolitan Wastewater,Sewer - Metropolitan,Bond Issuance CIP Reserve,45-922.0,Council District: Citywide; Community Plan: Citywide,5000000,5000000,This project provides for an emergency reserve for Metropolitan Wastewater Department capital improvement projects.,This reserve is required to comply with the stipulation from Bond Counsel.,0,0,0,0,0,0,0,0,0,0,0,,
2007,365,Metropolitan Wastewater,Sewer - Metropolitan,Environmental Monitoring and Tech Services Lab Boat Dock,45-965.0,Council District: 2; Community Plan: Peninsula,110000,2434253,This project provides for a new boat dock to be constructed in the former Naval Training Center (NTC) boat channel. This dock will moor two ocean-going vessels assigned to the new Environmental Monitoring and Technical Services Laboratory recently constructed adjacent to the NTC channel.,"A new 40,000 square foot ocean monitoring laboratory was recently constructed and is now in operation. As a condition of our National Pollutant Discharge Elimination System (NPDES) Permit, the Metropolitan Wastewater Department (MWWD) is required to conduct daily ocean monitoring activities associated with the two outfalls. MWWD has two vessels used for this purpose that need to be docked adjacent to the facility to transport samples and equipment.",2324253,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,366,Metropolitan Wastewater,Sewer - Metropolitan,MBC Biosolids Storage Silos,45-984.0,Council District: 7; Community Plan: No Community Planning Area,104000,8756800,This project will add two additional storage silos (Nos. 9 and 10).,"When a silo is out of service, silo storage capacity is frequently exceeded. In order to accommodate such events and to restore adequate silo capacity, it is essential to build two more storage silos.",1553760,3592992,2816112,689936,0,0,0,0,0,0,0,2008,2011
2007,367,Metropolitan Wastewater,Sewer - Metropolitan,MBC Centrate Collection Upgrades,45-982.0,Council District: 7; Community Plan: No Community Planning Area,0,2154600,This project will convert the existing foul air ducting into dual-use headers for centrate and foul air collection and will upsize the existing centrate collection headers.,This project replaces the foul air header ducts at the centrifuges to a material that will handle both centrate and foul air. These improvements will provide a bypass pipeline for the centrate flow during additional improvements. The additional improvements will upgrade the undersized centrate collection headers for future larger centrate flows and prevent on-going centrate backups into the foul-air duct headers and damage to the centrifuges.,532200,1224080,398320,0,0,0,0,0,0,0,0,2008,2010
2007,368,Metropolitan Wastewater,Sewer - Metropolitan,MBC Odor Control Facility Upgrades,45-989.0,Council District: 7; Community Plan: No Community Planning Area,832000,5255320,This project will upgrade the Odor Control System fans and ducting to reduce system headlosses and improve overall foul air collection efficiency at the various process areas. Access platforms will also be installed at monitoring instruments and damper locations.,"Several areas at MBC have been identified to cause significant odor problems due to foul air collection deficiencies because of insufficient fan capacity and high headlosses, including poorly located foul air collection registers. This project will improve the foul air collection system ducting, upgrade the odor fans, review locations of and add or remove air registers as needed to better capture the odorous air and to eliminate these hazardous areas. Installing access platforms at the monitoring instruments and air volume control dampers will provide safe and timely access for operation and maintenance needs.",610680,3812640,0,0,0,0,0,0,0,0,0,2008,2009
2007,369,Metropolitan Wastewater,Sewer - Metropolitan,MBC Standby Centrifuge Feed Facilities,45-981.0,Council District: 7; Community Plan: No Community Planning Area,104000,1616680,This project will provide for the addition of two standby centrifuge feed pumps and two standby polymer feed pumps. One set (consisting of a sludge pump and a polymer pump) will be dedicated to each of the two sets of 4-unit dewatering centrifuges to provide the true standby redundancy capability that was intended by the initial design.,"Due to a high frequency of repairs and maintenance on these centrifuges, the standby centifuge set, including its sludge pump and chemical feed pump, is called to duty for significant amounts of time. During these duty times for the standby set, the sludge and chemical feed pumps are no longer available for standby service for a normal duty set. Therefore, the failure of a sludge or polymer feed pump in a normal duty set gravely hampers biosolids production. By providing two dedicated standby centrifuge feed pumps and two polymer feed pumps, true redundancy will be provided.",250120,1030120,232440,0,0,0,0,0,0,0,0,2008,2010
2007,370,Metropolitan Wastewater,Sewer - Metropolitan,MBC Wastewater Forcemain Extension,45-988.0,Council District: 7; Community Plan: No Community Planning Area,104000,1292840,This project will upgrade the wastewater pumps to by-pass the capacity-limited Muni System Pump Station 86 and will extend Metro Biosolids Center's discharge pipeline past System Pump Station 86 and discharge directly to a gravity trunk sewer.,"Discharge flow rate from the MBC wastewater pumps is restricted because of capacity issues at the downstream pump station, Muni SPS 86. Restricting MBC's discharge flow causes wastewater to overflow to the centrate pump station which impacts OPRA emissions. To prevent overflows and thus comply with OPRA requirements, the wastewater pumps must be upgraded, and flows diverted past SPS 86 via a forcemain extension which discharges directly into a gravity trunk sewer.",193560,694408,300872,0,0,0,0,0,0,0,0,2008,2010
2007,371,Metropolitan Wastewater,Sewer - Metropolitan,Metro Facilities Control System Upgrade,45-966.0,Council District: Citywide; Community Plan: Citywide,523843,12760734,"This project provides for replacement and upgrade of existing control systems at various Metropolitan Wastewater treatment and pump station facilities. These include the Metro Biosolids Center, North City Water Reclamation Plant, Point Loma Treatment Plant, and South Bay Water Reclamation Plant.","This project is needed to provide replacement of existing control systems at various facilities. The existing control system is a microprocessor/computer based system. The life cycle of this system is seven to ten years. The control systems at these facilities are entering into this life cycle replacement phase, starting in Fiscal Year 2007. This replacement also provides for an upgrade in technology. The rapid changes in technologies also provide the facilities with greater control system capabilities and are essential for future facility expansion.",5132583,2217698,3411761,0,0,0,0,0,0,0,0,2008,2010
2007,372,Metropolitan Wastewater,Sewer - Metropolitan,NCWRP Effluent Pump Station Upgrade,41-944.0,Council District: 1; Community Plan: University,0,811201,This project will correct a corrosion situation caused by chlorine fumes.,The NCWRP Effluent Pump Station Upgrade project is needed to minimize maintenance costs and avoid early replacement of the equipment due to corrosion.,81120,135200,594881,0,0,0,0,0,0,0,0,2008,2010
2007,373,Metropolitan Wastewater,Sewer - Metropolitan,NCWRP Sludge Pump Station Upgrade,41-942.0,Council District: 1; Community Plan: University,0,436799,This project provides for correction of a vibration problem at the North City Water Reclamation Plant (NCWRP) Sludge Pump Station.,"Excessive vibration of the pump and flywheel contribute to wear and tear of equipment. The vibration also generates tremendous heat. The excessive vibration and heat can cause premature failure of equipment, impact operational efficiency and have structural impacts at the facility.",20800,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,374,Metropolitan Wastewater,Sewer - Metropolitan,North City Raw Sludge / Point Loma Cathodic Protection,45-964.0,"Council District: 1, 2, 7; Community Plan: University",536199,552499,"This project provides for a new impressed current cathodic protection system to prevent external corrosion on the 36-inch reclaimed water pipeline, the 16-inch blended sludge pipeline, and the 20-inch centrate pipeline, between the North City Water Reclamation Plant and the Metro Biosolids Center. The new system will replace an existing galvanic anode cathodic protection system.",The existing cathodic protection system for these pipelines is inadequate and does not provide satisfactory corrosion protection to the pipelines. The new system will fully protect the pipelines and prevent any corrosion related sewer spills.,16300,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,375,Metropolitan Wastewater,Sewer - Metropolitan,Point Loma - Grit Processing Improvements,45-943.0,Council District: 2; Community Plan: Peninsula,4791422,41792366,"This project will upgrade the existing grit aeration systems at the Point Loma plant. The original project scope provided for reconstructing the south grit tanks and the adjacent pump gallery, replacing the 1962 headworks building, and constructing a drive-through facility, which includes new grit processing equipment. The scope also included replacing the grit agitation air blowers and piping, expanding Odor Removal System #1, and installing a sixth screen channel and additional overhead ducts to treat foul air from the grit facilities. Currently, the original design has been postponed and the project scope reduced pending the results of the pilot testing of the Biological Aerated Filter (BAF) Technology at the Point Loma Wastewater Treatment Plant. The revised project scope will upgrade the existing grit aeration systems at the plant which will include new grit agitation blowers enclosed in a sound dampening facility and the associated air piping.","The Point Loma Wastewater Treatment Plant has six aerated grit removal tanks. Grit removal from influent flows was found to be more efficient when the two south grit tanks were not used. Currently, the plant is not achieving desirable grit removal; the existing grit processing equipment is unable to extract fine sand or silt. The grit accumulated downstream of the grit tanks reduces the efficiency of processing equipment and minimizes the biosolid treatment in the digesters.",243600,3141216,13119808,13119808,7376512,0,0,0,0,0,0,2008,2012
2007,376,Metropolitan Wastewater,Sewer - Metropolitan,Point Loma - South Access Road Protection Project,45-960.0,Council District: 2; Community Plan: Peninsula,351698,708505,"This project provides for continued access to the Point Loma Wastewater Treatment Plant and investigates, and may implement, options to mitigate erosion at two sea coves adjacent to the plant's access road.",The treatment plant has only one access road as granted by the federal government and this project is needed to ensure continued access.,0,0,0,0,0,0,0,0,0,0,0,,
2007,377,Metropolitan Wastewater,Sewer - Metropolitan,Pump Station 2 Onsite Standby Power,45-915.0,Council District: 2; Community Plan: Midway/Pacific Highway Corridor,50000,9014491,This project would replace two of the existing on-site substation transformers to 10 Million Volt-Amp (MVA) capacity and replace existing two engine pumps with two 3-megawatt engine generators. This will provide the station with four 50% utility feeds to comply with Environmental Protection Agency (EPA) power requirements.,"The current utility power system does not meet the required EPA power requirements. Two of the existing utility feeds are only rated at 5 MVA with the third rated at 10 MVA. All feeds are limited to two pumps, except during emergency conditions, which provide less than 50% of the possible demand. By upgrading the two 5 MVA feeds to 10 MVA and installing a fourth 10 MVA feed, the station will have four 50% feeds which would comply with the EPA required two 100% feeds. This will also enhance station reliability by allowing any pump to be powered by the engine generators instead of pumps #4 and #5 as currently configured.",4501481,4463010,0,0,0,0,0,0,0,0,0,2008,2009
2007,378,Metropolitan Wastewater,Sewer - Metropolitan,SBWRP Demineralization Facility Phases 1&2,42-930.0,Council District: 8; Community Plan: Tia Juana River Valley,0,25166419,This project provides for demineralization of reclaimed water. Phase I would construct a demineralization facility to provide 7.5 million gallons a day (mgd) of reclaimed water for conveyance to the users. Phase II will expand the facility to provide 15 mgd of reclaimed water.,A majority of reclaimed water use is for irrigation purposes. Too high a level of total dissolved solids (TDS) in the reclaimed water can affect agronomic conditions. Demineralization will reduce the level of TDS in the reclaimed water.,114400,488883,1038336,7733440,5516160,0,0,0,0,0,0,2008,2012
2007,379,Metropolitan Wastewater,Sewer - Metropolitan,"South Metro Sewer Rehabilitation, Phase 3B",45-961.0,"Council District: 8; Community Plan: Barrio Logan, Centre City",0,8722886,This project provides for the rehabilitation of existing sections of the South Metro Interceptor (SMI) that have been discovered and scoped as part of the South Metro Downtown Tunnel Rehabilitation project. The sections of the SMI to be repaired include force main and gravity sections between Pump Station #1 and Pump Station #2. Rehabilitation efforts include one pair of deteriorated and/or delaminated liner sections in the pipe.,The unlined and/or lined intersections of the South Metro Interceptor have deteriorated significantly due to the corrosive effects of sewer gases over 40 years.,157506,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,380,Metropolitan Wastewater,Sewer - Metropolitan,Wet Weather Storage Facility - Phase 1,45-940.0,Council District: Citywide; Community Plan: Citywide,2078220,85708826,This project provides a 16 million gallon per day storage facility to intercept peak wet-weather flows generated in the Metropolitan Sewage System.,"The facility will reduce the risk of potential wet weather overflows, which may be caused by the capacity limitation of the existing collection system during rainfall events.",632640,648960,3244800,1081600,178063,0,0,0,0,0,0,2008,2012
2007,381,Metropolitan Wastewater,Sewer - Municipal,Annual Allocation - Accelerated Projects,46-206.0,Council District: Citywide; Community Plan: Citywide,0,20000,This annual allocation will provide for the accelerated construction of the Municipal Sewer System.,This annual allocation will provide for the replacement of sewer mains that are in imminent danger of failing.,20000,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,382,Metropolitan Wastewater,Sewer - Municipal,Annual Allocation - CIP Contingencies,46-193.0,Council District: Citywide; Community Plan: Citywide,0,2729944,This annual allocation provides for Capital Improvements Program contingency needs for Municipal Sewer projects.,This annual allocation will provide better Capital Improvements Program budget control. Project contingency needs (except annual allocation projects) will be met by this annual allocation.,2729944,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,383,Metropolitan Wastewater,Sewer - Municipal,Annual Allocation - Developer Projects,45-975.0,Council District: Citywide; Community Plan: Citywide,0,560800,This annual allocation provides for the City's share of costs to upgrade sewers at new developments at various locations within the City.,"This annual allocation will provide for the upgrading of sewers that are required of new developments in which the City of San Diego will share in financing, design and construction. The City funds the cost related to existing conditions and the developer pays for upgrades to capacity to accommodate their flows.",560800,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,384,Metropolitan Wastewater,Sewer - Municipal,Annual Allocation - MWWD Trunk Sewers,40-933.0,Council District: Citywide; Community Plan: Citywide,0,8048600,"This annual allocation provides for the replacement of trunk sewers at various locations, including canyons, within the City.","This annual allocation will provide for the upgrading of trunk sewers, which are approaching maximum capacity, to improve the level of service to the residents of San Diego, and to comply with the regulatory agencies by reducing the impact of sewer spills.",8048600,0,0,0,0,0,0,0,0,0,0,2008,2008
