cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018
2012,Parks - Miscellaneous Parks,307,Park & Recreation,Ocean Beach CDC - N Ocean Beach Revitalization,2013,2013,Council District: 2; Community Plan: Ocean Beach,803960,1345160,"This project provides for streetscape improvements such as hardscape plaza, street trees, orna- mental lighting, landscaping, sidewalk repairs, bicycle facilities, signage, and Americans with Disabilities Act (ADA) improvements. The first phase of improvements is focused on the area at and adjacent to the intersection of Sunset Cliffs Boulevard and West Point Loma Boulevard, one of the main entries into the Ocean Beach com- munity.","The North Ocean Beach entryway has been identified as a location for streetscape improve- ments by Council District 2 and by the community. The goals are to increase safety and security, enhance the community image, and contribute positively to the commercial revitalization of the affected area.",500000,41200,0,0,0,0,0
2012,Bldg - Other City Facility / Structures,308,Park & Recreation,Ocean Beach Recreation Center ADA Improvements,,,Council District: 2; Community Plan: Ocean Beach,255103,255103,"This project provides for the upgrade of the recreational facility located at 4726 Santa Monica Boulevard to comply with Americans with Disabilities Act (ADA) standards, including replacing sidewalks and curb ramps, replacing restroom stall doors and door handles, repaving existing lots and repainting parking stalls for Americans with Disabilities Act (ADA) parking.",Accessibility upgrades are necessary to meet Americans with Disabilities Act (ADA) and Title 24 requirements.,0,0,0,0,0,0,0
2012,Parks - Resource Based,309,Park & Recreation,Old Mission Dam Preservation,,,"Council District: 7; Community Plan: Navajo, Tierrasanta",1577335,1577336,"This project provides for dredging behind the Old Mission Dam for the purpose of removing silt buildup, the required mitigation and monitoring program, and obtaining the necessary permits for long term preservation measures.",This project will protect the structural integrity of the historic dam and improve water quality within the San Diego River.,0,0,0,0,0,0,0
2012,Parks - Mini Parks,310,Park & Recreation,Olive Street Park Acquisition and Development,,,Council District: 2; Community Plan: Uptown,2201585,2931585,"This project provides for the acquisition, design, and construction of approximately 0.36 acre of unimproved property contiguous with the south end of the existing Olive Street Park. The project will expand useable park acreage in the Uptown Community. Improvements may include amenities, such as multi-purpose turf areas, a children's play area, seating, walkways, landscaping, and security lighting.",This project will contribute to satisfying population-based park acreage requirements set forth in the City's General Plan in a community currently deficient in population-based parks per General Plan guide- lines.,730000,0,0,0,0,0,0
2012,Parks - Open Space,311,Park & Recreation,Open Space Improvements,2013,2013,Council District: Citywide; Community Plan: Citywide,1173000,1723000,"This project provides funding for developing various public facilities within the City's resource- based open space parks. Improvements may include, but not be limited to, rehabilitation of Cowles Mountain Trail, drainage improvements within Tecolote Open Space, San Diego River improvements, Arizona Landfill reclamation test plot, and North Chollas Open Space enhancement.","This project is needed to preserve and enhance the City's open space areas. Enhancement may include removal of exotic, invasive and non-native plant material and re-vegetation with native plants of the areas susceptible to erosion.",0,550000,0,0,0,0,0
2012,Parks - Resource Based,312,Park & Recreation,Otay Valley Fenton Pond RecreationTrail,,,"Council District: 1, 2, 3, 4, 5, 6, 7, 8; Community Plan: Otay Mesa",209605,209605,This project provides for an accessible trail in Otay Valley Regional Park from the Beyer Stag- ing Area around Fenton Pond.,This project will provide for increased recreational opportunities in Otay Valley Regional Park.,0,0,0,0,0,0,0
2012,Parks - Resource Based,313,Park & Recreation,Otay Valley Regional Park-Beyer Blvd Staging Area,,,Council District: 8; Community Plan: Otay Mesa - Nestor,2500396,2500396,"This project provides for the first staging area in Otay Valley Regional Park and will include hiking trails, a ranger station and related amenities.",This project will provide access to the Otay Valley Regional Park.,0,0,0,0,0,0,0
2012,Parks - Community,314,Park & Recreation,Pacific Breezes (Ocean View Hills) Community Park,,,Council District: 8; Community Plan: Otay Mesa,11770000,11770000,"This project provides for the acquisition, design and construction of the Pacific Breezes Com- munity Park. This park will be 15 acres with an additional five acres of joint-use with the adjacent Ocean View Hills Elementary School. Amenities may include lighted ball fields, a comfort station, a children's play area, picnic areas, and other improvements. A recreation center and pool complex are also",This project will provide the community with additional recreational opportunities and will enhance the visual quality of the area.,0,0,0,0,0,0,0
2012,Parks - Miscellaneous Parks,315,Park & Recreation,Palisades Park Comfort Station Replacement,2013,2013,Council District: 2; Community Plan: Pacific Beach,300000,642712,"This project provides for the removal and replacement of the existing comfort station at Pali- sades Park at the foot of Law Street in Pacific Beach. Minor grading outside the limits of the building footprint is anticipated due to the improvement of the accessible path from the accessible parking to the comfort station. Major excavations will be carried out for the new retaining walls and building foundations. Because of the lim- ited work areas, traffic control plans will be required during construction activities which will impact Ocean Boulevard.",These improvements are necessary to provide Americans with Disibilities Act (ADA) accessi- bility to the comfort station which is not currently accessible and to provide an accessible path of travel from the public way to the new facility.,0,342712,0,0,0,0,0
2012,Parks - Community,316,Park & Recreation,Paradise Hills Community Park Picnic Shelter,,,Council District: 4; Community Plan: Skyline - Paradise Hills,216000,216000,This project provides for a new picnic shelter near the skate park within Paradise Hills Commu- nity Park. The Americans with Disabilities Act (ADA) accessible path of travel from the existing parking lot to the new picnic shelter will also be upgraded.,The picnic shelter was identified by the community as an amenity to add to the park by utilizing the telecom site access fee (Antenna Lease Revenue) funds when additional funds were available to supplement the telecom site access fee fund.,0,0,0,0,0,0,0
2012,Parks - Miscellaneous Parks,317,Park & Recreation,Park & Recreation Grant Match Funding,,,Council District: Citywide; Community Plan: Citywide,431955,431955,"This annual allocation provides for matching fund requirements and other unfunded needs for projects funded with alternative financing, which includes grants and private donations.",Grant match funding greatly enhances the Park and Recreation Department's ability to secure grants and donations to provide funding for projects.,0,0,0,0,0,0,0
2012,Trans - Roadway - Enhance/Scape/Medians,318,Park & Recreation,Pomerado Rd Median Improvements-n/o of R Bernardo,2013,2013,Council District: 5; Community Plan: Rancho Bernardo,394750,644750,This project provides for the renovation and replacement of existing asphalt medians along Pomerado Road north of Rancho Bernardo Road with landscape improvements and accompanying stamped concrete at various locations.,This project will enhance the appearance of the corridor through the replacement of deteriorat- ing medians.,0,250000,0,0,0,0,0
2012,Parks - Miscellaneous Parks,319,Park & Recreation,Presidio Park Master Plan,,,Council District: 2; Community Plan: Old San Diego,25000,25000,"This project provides for preparation of a master plan to restore, enhance, and manage the archaeological and historical resources at Presidio Park. Phase I provided for consultant services to oversee a task force of selected professional archaeologists, geologists, and historians who studied the park site and devel- oped a program that will become the basis for the master plan. Phase II completes the master plan effort.","This master plan will guide the restoration, enhancement, and management of the archaeologi- cal and historical resources over a 20-year period.",0,0,0,0,0,0,0
2012,Parks - Community,320,Park & Recreation,Rancho Bernardo Community Park-Sports Field Lights,2013,2013,Council District: 5; Community Plan: Rancho Bernardo,700000,870000,This project provides for the design and construction of lighting systems for sports fields #5 and #6 at the Rancho Bernardo Community Park.,This project is needed to expand the hours of facility use and its capacity to serve the commu- nity's residential growth.,0,170000,0,0,0,0,0
2012,Bldg - Community Centers,321,Park & Recreation,Rancho Bernardo Recreation Center ADA,,,Council District: 5; Community Plan: Rancho Bernardo,97379,97379,"This project provides for accessibility improvements to the facility to meet Americans with Dis- abilities Act (ADA) and Title 24 requirements. Upgrades will include the replacement of sidewalks and curb ramps, repaving the existing parking lot and painting parking stalls for ADA parking requirements, and replac- ing restroom doors and door handles, office doors and thresholds.",These improvements are necessary to meet Americans with Disabilities Act (ADA) and Title 24 requirements.,0,0,0,0,0,0,0
2012,Trans - Roadway - Enhance/Scape/Medians,322,Park & Recreation,Rancho Bernardo Road Streetscape,2013,2013,Council District: 5; Community Plan: Rancho Bernardo,50000,75000,"This project provides for streetscape improvements along arterial roadways within the Rancho Bernardo Maintenance Assessment District, including but not limited to the installation of decorative brick pav- ers, synthetic turf, decorative paving, and low water use demonstration planting projects.",The medians along arterial roadways in Rancho Bernardo Maintenance Assessment District were built in the late 1960's and are in need of refreshing. An existing brick median along Pomerado Road near Highland Valley Road is deteriorating. Existing turf medians may use more water than other landscaping appli- cations; this project intends to reduce water usage.,0,25000,0,0,0,0,0
2012,Trans - Roadway - Enhance/Scape/Medians,323,Park & Recreation,Rancho Bernardo Westwood Soundwall,,,Council District: 5; Community Plan: Rancho Bernardo,100000,100000,This project provides for landscape infrastructure to irrigate native plant material within the north public right-of-way along Rancho Bernardo Road from west of West Bernardo Drive to just north of Mat- inal Road near an existing soundwall. This project may also include landscape enhancements.,Installation of a landscape infrastructure would provide for a permanent water source to ensure the viability of native plants.,0,0,0,0,0,0,0
2012,Parks - Neighborhood,324,Park & Recreation,Rancho Encantada Park #2,2013,2014,Council District: 7; Community Plan: Rancho Encantada,1753000,2848000,"This project provides for development of approximately six acres for a neighborhood park to include active and passive uses, parking lot, playground, comfort station and lighted ball fields.",This park will provide additional amenities above the the population-based park acreage requirements set forth in the City's General Plan due to an extraordinary benefits agreeement.,0,13000,1082000,0,0,0,0
2012,Trans - Roadway - Enhance/Scape/Medians,325,Park & Recreation,Rancho Penasquitos Monument Signs,,,Council District: 1; Community Plan: Rancho Penasquitos,186475,186475,This project provides for five permanent monument signs to be located in center medians throughout the Rancho Penasquitos community. The monument signs will read Welcome to Rancho De Los Penasquitos and may include faux rocks and solar lighting.,The existing monument signs need to be replaced because the signs have been destroyed or damaged by vehicle accidents.,0,0,0,0,0,0,0
