cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017
2010,West Miramar Landfill - Phase 2 / S00774,110,Environmental Services,Bldg - Other City Facility,2011,2011,Council District: 5; Community Plan: Non City,1360000,3060000,This project provides for a landfill gas collection system for the West Miramar Phase II Landfill. Bio-degradation of buried waste produces landfill gas. The landfill gas collection system consists of a network of gas extraction wells connected by piping.,,0,1700000,0,0,0,0,0,0
2010,Chollas Landfill Photovoltaic / S00778,111,Environmental Services,,,,Council District: 4; Community Plan: Southeastern San Diego,5000,5000,This project provides for up to one megawatt of power generation from solar photovoltaic panels located at the South Chollas landfill.,,0,0,0,0,0,0,0,0
2010,Environmental Services Operations Yard Improvement / AFA00003,112,Environmental Services,,,,Council District: 5; Community Plan: Mira Mesa,246050,246050,"This annual allocation provides for operational yard improvements necessary to support heavy equipment and other upgrades related to yard security, safety and stormwater runoff to the Environmental Ser- vices Operations Station (ESOS) Yard.",,0,0,0,0,0,0,0,0
2010,Groundwater Monitoring Network / AKC00001,113,Environmental Services,,2011,2015,Council District: Citywide; Community Plan: Citywide,565318,1915318,"This annual allocation provides for minor improvements to existing Groundwater Monitoring Networks at all closed and operating landfills managed by the City. Such improvements may include new facil­ ities to monitor groundwater, preparation of reports necessary to modify the groundwater monitoring programs, or potential groundwater mitigation measures.",,0,250000,270000,270000,270000,290000,0,0
2010,Minor Improvements to Landfills / AFA00001,114,Environmental Services,,2011,2015,Council District: 5; Community Plan: Mira Mesa,1299937,2649937,"This annual allocation provides for minor improvements to existing sanitary landfills to comply with operating permits and regulatory requirements. Such improvements may include fencing, access roads, drains, small structures, and environmental protection projects.",,0,250000,270000,270000,270000,290000,0,0
2010,Miramar Landfill Greenery Expansion / S00975,115,Environmental Services,,,,Council District: 5; Community Plan: Non City,397858,397858,"This project provides for the expansion of the existing Miramar Greenery currently located at the Miramar Landfill. The expansion of curbside greens collection to additional neighborhoods in the City will increase the tonnage coming into the facility, requiring additional acreage and equipment.",,0,0,0,0,0,0,0,0
2010,Mission Bay Landfill Site / S00780,116,Environmental Services,,,,Council District: 2; Community Plan: Mission Bay Park,900000,900000,This project involves an assessment which will determine potential impacts the Mission Bay Landfill has on public health and the environment.,,0,0,0,0,0,0,0,0
2010,South Miramar Landfill / S00779,117,Environmental Services,,,,Council District: 5; Community Plan: Non City,3610000,3610000,"This project provides cover material, grading, drainage, and site improvements at the inactive South Miramar Landfill.",,0,0,0,0,0,0,0,0
2010,Unclassified Disposal Site Closure / S01084,118,Environmental Services,,2011,2015,Council District: Citywide; Community Plan: Citywide,3394605,3779605,This project provides for preliminary assessments and remediation of various burn sites and unclassified disposal sites. These sites have been identified as potential health or environmental risks.,,0,75000,75000,75000,80000,80000,0,0
2010,Underground Tank Program / AFA00002,119,Environmental Services,,,,Council District: 5; Community Plan: Mira Mesa,2302660,2302660,"This project provides for implementation of the Citywide Underground Hazardous Materials Storage Tank Master Plan. The plan addresses the removal, installation, closure, site assessment and mitigation, replacement, testing, and rehabilitation of the 69 City-owned underground storage tanks (USTs). Site assess­ ment and mitigation activities related to 26 unauthorized releases are ongoing to maintain regulatory compli­ ance, eligibility for State reimbursement, protection of groundwater and public health and safety.",,0,0,0,0,0,0,0,0
2010,West Miramar Landfill Liner Module E / S01075,120,Environmental Services,,,,Council District: 5; Community Plan: Non City,7840715,7840715,"This project provides for continuing development of the West Miramar Landfill, located south­ west of Marine Corps Air Station Miramar. The facility will accommodate over 35 million cubic yards of refuse fill on 807 acres. Phase II will develop the second half of the facility, including design and construction of entry roads and drainage systems, excavation, federally-mandated liner systems, and stockpiling and spreading of earthen materials.",,0,0,0,0,0,0,0,0
2010,West Miramar Landfill Public Tipping Area / S00775,121,Environmental Services,,,,Council District: 5; Community Plan: Non City,200000,200000,This project provides for a convenient site for a public tipping area for the disposal of trash away from the active landfill.,,0,0,0,0,0,0,0,0
2010,West Miramar Refuse Disposal Facility - Phase 2 / S01074,122,Environmental Services,,2011,2016,Council District: 5; Community Plan: Non City,38512334,40312334,"This project provides for continuing development of the West Miramar Landfill, located south­ west of Marine Corps Air Station Miramar. The facility will accommodate over 35 million cubic yards of refuse on 807 acres. Phase II will develop the second half of the facility, including design and construction of entry roads and drainage systems, excavation, federally-mandated liner systems, and stockpiling and spreading of earthen materials. This project also includes development of the General Development Plan elements for the entire site.",,0,300000,300000,300000,300000,300000,300000,0
2010,Arizona Street Landfill Closure and Modifications / S00682,123,Environmental Services,Landfills - Supporting Fac,2011,2016,Council District: 3; Community Plan: Balboa Park,1678542,2073543,This project provides for modifications to the existing landfill gas collection system and cover at the Arizona Landfill to enhance operations and maintain regulatory compliance.,,0,60000,65000,65000,65000,70000,70000,0
2010,Arizona Street Landfill Gas Upgrade - 3 / S00683,124,Environmental Services,Landfills - Supporting Fac,,,Council District: 3; Community Plan: Balboa Park,395629,395629,This project provides for modifications to the existing landfill gas collection system to enhance operations and maintain regulatory compliance. The project also provides for assessment and installation of an alternative energy generation project fueled by landfill gas.,,0,0,0,0,0,0,0,0
2010,Environmental Services Operations Yard Improvement / S01085,125,Environmental Services,Landfills - Supporting Fac,,,Council District: 5; Community Plan: Kearny Mesa,879628,879628,This project provides for improvements to the Environmental Services Operations Station (ESOS) Yard located at 8353 Miramar Place.,,0,0,0,0,0,0,0,0
2010,Future Waste Mgmt Disposal & Processing Facilities / S01088,126,Environmental Services,Landfills - Supporting Fac,2011,2016,Council District: Citywide; Community Plan: Citywide,14596171,54553271,"This project provides for the development and construction of solid waste disposal and process­ ing facilities. Strategic planning, design, construction, environmental review and potential purchase of mitiga­ tion property are all within the scope of the project.",,29457100,1750000,1750000,1750000,1750000,1750000,1750000,0
2010,Miramar Fee Booth Modifications / S00681,127,Environmental Services,Landfills - Supporting Fac,,,Council District: 5; Community Plan: Non City,900000,900000,"This project provides for improvements to the Miramar Landfill entrance area, including fee booth upgrades, roadway resurfacing, landscaping, and signage.",,0,0,0,0,0,0,0,0
2010,South Chollas Landfill / S00776,128,Environmental Services,Landfills - Supporting Fac,2011,2016,Council District: 4; Community Plan: Eastern Area (Mid-City),1650000,1911000,This project provides for modifying the existing landfill gas collection system to enhance opera- tions and maintain regulatory compliance.,,0,40000,43000,43000,43000,46000,46000,0
2010,South Chollas Landfill Improvements / S00684,129,Environmental Services,Landfills - Supporting Fac,,,Council District: 4; Community Plan: Eastern Area (Mid-City),4411702,4411702,"This project provides for cover material, grading, drainage, and site improvements at the inac- tive South Chollas Landfill.",,0,0,0,0,0,0,0,0
2010,Fire Station No. 13 - La Jolla - ADA Improvements / S01091,132,Fire-Rescue,Bldg - Other City Facility,,,Council District: 1; Community Plan: La Jolla,29399,29398,This project provides for accessibility improvements to the facility which provides services to La Jolla residents or visitors to the community.,,0,0,0,0,0,0,0,0
2010,Fire Station Major Component Replacement Rehab / ABC00001,133,Fire-Rescue,Bldg - Pub Safety - Fire Fac,,,Council District: Citywide; Community Plan: Citywide,401015,401015,"This project provides for the replacement and/or rehabilitation of major structural and construc­ tion components in older fire facilities throughout the City. Included are electrical service upgrades, heating, ventilating and air-conditioning (HVAC), roofs, dormitory remodels, kitchen remodels, driveway and parking paving, exterior finishes and miscellaneous renovations. This is one of 12 projects included in the Fire and Life Safety Services Facility Improvement Program approved by the Mayor and City Council on February 27, 2001 per Council Resolution R-294609 and amended by the Mayor and City Council on April 16, 2002 per Council Ordinance O-19054.",,0,0,0,0,0,0,0,0
2010,Fire Station No. 1 - Downtown / S00786,134,Fire-Rescue,Bldg - Pub Safety - Fire Fac,,,"Council District: 2, 7; Community Plan: Centre City",517116,6317116,"This project provides for the design and construction of modifications to rehabilitate Fire Station 1 which include different floor layouts, new electrical plans, ventilation and exhaust extraction system, new roll up doors, modified asbestos abatement plans to include only portions to be disturbed as part of other improve­ ments, modified mechanical/ventilation system designed for the new configuration, kitchen area remodel and a new accessible restroom. On March 27, 2007, the City Council approved (R-302472 and 302473) a cooperation agreement with the Redevelopment Agency for funding improvements and authorize the",,5800000,0,0,0,0,0,0,0
2010,Fire Station No. 10 - College Remodel / S01031,135,Fire-Rescue,Bldg - Pub Safety - Fire Fac,,,Council District: 7; Community Plan: College Area,21822,21822,This project provides for the remodeling of Fire Station 10. This station is located at 4605 62nd Street and serves San Diego State University and surrounding ares.,,0,0,0,0,0,0,0,0
2010,Fire Station No. 17 - Mid-City / S00783,136,Fire-Rescue,Bldg - Pub Safety - Fire Fac,2011,2011,Council District: 3; Community Plan: City Heights (Mid-City),783624,8720000,"This project provides for reconstructing the 50-year-old fire station at 4206 Chamoune Avenue in the Mid-City area. The station will accommodate up to ten personnel, two fire apparatus' and one paramedic unit. This is one of 12 projects included in the Fire and Life Safety Services Facility Improvement Program approved by the Mayor and City Council on February 27, 2001 per Council Resolution R-294609 and amended by the Mayor and City Council on April 16, 2002 per Council Ordinance O-19054.",,0,7936376,0,0,0,0,0,0
2010,Fire Station No. 22 - Point Loma / S00787,137,Fire-Rescue,Bldg - Pub Safety - Fire Fac,2011,2011,Council District: 2; Community Plan: Peninsula,958161,5788000,"This project provides for the reconstruction of Fire Station 22, located at 1055 Catalina Boule­ vard in Point Loma. This is one of 12 projects included in the Fire and Life Safety Services Facility Improve­ ment Program approved by the Mayor and City Council on February 27, 2001 per Council Resolution R­ 294609 and amended by the Mayor and City Council on April 16, 2002 per Council Ordinance O-19054.",,0,4829839,0,0,0,0,0,0
2010,Fire Station No. 33 - Rancho Bernardo / S00789,138,Fire-Rescue,Bldg - Pub Safety - Fire Fac,,,Council District: 5; Community Plan: Rancho Bernardo,1115000,1115000,This station is located at 16966 Bernardo Center Drive at Rancho Bernardo Road. It serves the Rancho Bernardo and adjacent community areas. This project brought a major restructuring of an existing aging facility and was succesfully completed during Fiscal Year 2010.,,0,0,0,0,0,0,0,0
2010,Fire Station No. 38 - Mira Mesa Remodel / S10006,139,Fire-Rescue,Bldg - Pub Safety - Fire Fac,2012,2012,Council District: 1; Community Plan: Black Mountain Ranch,250000,7006637,"The project provides for a new fire station in the northern portion of the Black Mountain Ranch subdivision. The station will have one engine, one brush apparatus, and one ambulance.",,0,0,6756637,0,0,0,0,0
2010,Fire Station No. 4 - East Village / S01017,140,Fire-Rescue,Bldg - Pub Safety - Fire Fac,,,Council District: 2; Community Plan: Centre City - East Village,10000,10000,This project provides for Fire Station 4 located at 404 8th Ave in Downtown San Diego near Petco Park. It serves the San Diego downtown and adjacent community.,,0,0,0,0,0,0,0,0
2010,Fire Station No. 42 - Carmel Mountain Ranch / S00782,141,Fire-Rescue,Bldg - Pub Safety - Fire Fac,,,Council District: 5; Community Plan: Sabre Springs,304051,304051,This project is for Fire Station 42 located in Carmel Mountain Ranch Community and serves both Carmel Mountain Ranch and Sabre Springs. It was constructed in 1988 and the construction materials used for the exterior of the fire station require replacement.,,0,0,0,0,0,0,0,0
2010,Fire Station No. 45 - East Mission Valley / S00688,142,Fire-Rescue,Bldg - Pub Safety - Fire Fac,,,Council District: 6; Community Plan: Mission Valley,4138692,12176400,"This project provides for a new fire station in Mission Valley (formerly named Fire Station 2). The station will accommodate up to 17 personnel, two engines, one aerial truck, two hazardous material appara­ tus, one paramedic ambulance, and one Battalion Chief vehicle. This is one of 12 projects included in the Fire and Life Safety Services Facility Improvement Program approved by the Mayor and City Council on February 27, 2001 per Council Resolution R-294609 and amended by the Mayor and City Council on April 16, 2002 per Council Ordinance O-19054.",,8037708,0,0,0,0,0,0,0
2010,Fire Station No. 47 - Pacific Highlands Ranch / S00689,143,Fire-Rescue,Bldg - Pub Safety - Fire Fac,,,Council District: 1; Community Plan: Pacific Highlands Ranch,9195000,9195000,"This project provides for a 10,500 square foot fire station to serve the Pacific Highlands Ranch community. This station will have an engine and an aerial ladder truck. The project budget and funding reflect the Pacific Highlands Ranch Public Facilities Financing Plan for Fiscal Year 2006 as approved by the Mayor and City Council on December 7, 2004, per Resolution R-299980.",,0,0,0,0,0,0,0,0
2010,Fire Station No. 49 - Otay Mesa / S00784,144,Fire-Rescue,Bldg - Pub Safety - Fire Fac,2012,2012,"Council District: 8; Community Plan: Otay Mesa - Nestor, Otay Mesa",1885000,10250000,"This station will be designated as Fire Station 49. This project provides for an approximate 11,000 square foot fire station to serve the Otay Mesa and Otay Mesa/Nestor Communities. The fire station will be located across the intersection of Ocean View Hills Parkway and Sea Fire Pt. and will serve the community in addition to Fire Station 6 located at 693 Twining Avenue. The fire station or facility will accommodate two fire apparatus and a paramedic ambulance.",,0,0,8365000,0,0,0,0,0
2010,Fire Station No. 5 - Hillcrest / S00788,145,Fire-Rescue,Bldg - Pub Safety - Fire Fac,2011,2011,Council District: 3; Community Plan: Uptown,891923,9070000,"This project provides for an approximate 10,500 square foot fire station located at 3902 9th Ave­ nue. The existing fire station will be demolished and replaced by a new, modern fire station. This station will house a crew of eight and one Battalion Chief. It will accommodate one engine, one aerial truck, and one Battal­ ion Chief vehicle. This is one of 12 projects included in the Fire and Life Safety Services Facility Improvement Program approved by the Mayor and City Council on February 27, 2001 per Council Resolution R-294609 and amended by the Mayor and City Council on April 16, 2002 per Council Ordinance O-19054.",,0,8178077,0,0,0,0,0,0
2010,Fire Station No. 54 - Paradise Hills / S00785,146,Fire-Rescue,Bldg - Pub Safety - Fire Fac,,,Council District: 4; Community Plan: Skyline - Paradise Hills,83935,10295000,This project provides for a new station in the Paradise Hills area to serve the Paradise Hills/Sky­ line area of San Diego.,,10211065,0,0,0,0,0,0,0
2010,Fire Station No. 8 - Mission Hills / S10029,147,Fire-Rescue,Bldg - Pub Safety - Fire Fac,,,Council District: 2; Community Plan: Uptown,63500,183500,"This project provides for the design and construction of the facility's living quarters, which cur­ rently does not provide the full functionality of the fire station requirements.",,120000,0,0,0,0,0,0,0
2010,Fire Station No.32 - Skyline North / S00687,148,Fire-Rescue,Bldg - Pub Safety - Fire Fac,2011,2011,Council District: 4; Community Plan: Skyline - Paradise Hills,961176,9218325,"This project provides for an additional station to be located at 7180 Skyline Drive to better serve the growing community of Skyline/Paradise Hills. This is one of 12 projects included in the Fire and Life Safety Services Facility Improvement Program approved by the City Council on February 27, 2001 per Council Resolution R-294609 and amended by the City Council on April 16, 2002 per Council Ordinance O-19054.",,8162149,95000,0,0,0,0,0,0
2010,Children's Pool Lifeguard Station / S00644,149,Fire-Rescue,,,,Council District: 1; Community Plan: La Jolla,3250000,6050000,"This project provides for a new lifeguard station and family restroom at the Children's Pool in La Jolla. This is one of ten lifeguard projects included in the Fire and Life Safety Services Facility Improvement Program approved by the City Council on April 16, 2002, per Council Resolution R-296359 and Ordinance O­ 19054.",,2800000,0,0,0,0,0,0,0
2010,La Jolla Cove Lifeguard Station / S00792,150,Fire-Rescue,,2011,2011,Council District: 1; Community Plan: La Jolla,914348,4000000,"This project provides for the La Jolla Cove Lifeguard Station, located at 1100 Coast Boulevard, which will be a year-round facility replacing the current station. The structure will include an observation tower, first aid room, and locker room/restroom areas for males and females. This project will also provide for an accessible ramp for the mid-landing. This is one of ten lifeguard projects included in the Fire and Life Safety Services Facility Improvement Program approved by the City Council on April 16, 2002, per Council Resolu­ tion R-296359 and Ordinance O-19054.",,1900000,1185652,0,0,0,0,0,0
2010,La Jolla Shores Lifeguard Station / S00790,151,Fire-Rescue,,,,Council District: 1; Community Plan: La Jolla,3840141,3840141,"This project provides for the La Jolla Shores Lifeguard Station located at 8100 Camino del Oro, which will be a year-round facility replacing the current station. The structure will include an observation tower, first aid room, reception area, kitchen, locker room/restroom areas for males and females, and a separate facility for rescue vehicles and emergency equipment. This is one of ten lifeguard projects included in the Fire Rescue and Life Safety Services Facility Improvement Program approved by the Mayor and City Council on April 16, 2002, per Council Resolution R-296359 and Ordinance O-19054.",,0,0,0,0,0,0,0,0
2010,Lifeguard Station Headquarters / S00794,152,Fire-Rescue,,,,Council District: 2; Community Plan: Mission Bay Park,2563500,12563500,"This project provides for construction of the Lifeguard Headquarters located at 2581 Quivira Court. The replacement facility will house lifeguards, mechanics, 24-hour, administrative, and training staff, and will provide an operation yard and storage for the rescue fleet. Construction of this lifeguard facility will occur in two phases. Phase I to replace the emergency dock has been completed. This is one of ten lifeguard projects included in the Fire Rescue and Life Safety Services Facility Improvement Program approved by the City Council on April 16, 2002, per Council Resolution R-296359 and Ordinance O-19054.",,10000000,0,0,0,0,0,0,0
2010,Lifeguard Tower/Grand Ave Restroom / S00641,153,Fire-Rescue,,,,Council District: 2; Community Plan: Pacific Beach,4732376,4732376,"This project provides for the design of a permanent lifeguard tower; restroom and changing room facility; demolition of the existing structure and construction of replacement facilities at the foot of Grand Avenue in Pacific Beach. This project has been consolidated with the South Pacific Beach Lifeguard Station. This is one of ten lifeguard projects included in the Fire and Life Safety Services Facility Improvement Project approved by the Mayor and City Council on April 16, 2002 per Council Resolution R-296359 and Ordinance O-19054.",,0,0,0,0,0,0,0,0
2010,Mission Beach Lifeguard Station / S00793,154,Fire-Rescue,,2011,2011,Council District: 2; Community Plan: Mission Beach,864400,1633896,"This project provides for remodeling the existing Mission Beach Station located at 3141 Ocean­ front Walk. This is one of ten lifeguard projects included in the Fire and Life Safety Services Facility Improve­ ment Program approved by the Mayor and City Council on April 16, 2002 per Council Resolution R-296359 and Ordinance O-19054.",,701496,68000,0,0,0,0,0,0
2010,North Pacific Beach Lifeguard Station / S10119,155,Fire-Rescue,,2011,2011,Council District: 2; Community Plan: Pacific Beach,0,550000,"This project provides for the North Pacific Beach Lifeguard Station located at the foot of Chal­ cedony Street, which will be a year-round facility replacing the current seasonal station. The structure will include an observation tower, first aid room, reception area, kitchen, locker room/restroom areas for males and females, and a garage for rescue vehicles and emergency equipment.",,0,550000,0,0,0,0,0,0
2010,South Mission Beach Lifeguard Station / S00791,156,Fire-Rescue,,2011,2011,Council District: 2; Community Plan: Mission Beach,369936,4750000,"The project provides for the South Mission Beach Station located at 700 North Jetty Road, which will be a year-round facility replacing the current station. The existing facility does not accommodate both male and female lockeroom facilities to include changing and shower. The new structure will include an observation tower, first aid room, reception area, kitchen, locker room and restroom areas for males and females, and a rescue vehicle and emergency equipment facility. This is one of ten lifeguard projects included in the Fire Rescue and Life Safety Services Facility Improvement Program approved by the Mayor and City Coun­ cil on April 16, 2002 per Council Resolution R-296359 and Ordinance O-19054.",,4230064,150000,0,0,0,0,0,0
2010,Fitting Facility Expansion / S10042,159,General Services,Bldg - Operations Facility,2011,2011,Council District: 4; Community Plan: Encanto Neighborhoods (Southeastern),350000,950000,This project allows for the expansion of the existing vehicle fitting facility located at the Chollas Operations Yard. The expansion will increase the facility from one service bay to six service bays and will include office space. The project will also provide equipment necessary for operations.,,100000,500000,0,0,0,0,0,0
2010,Americans with Disabilities Improvements / ABE00001,160,General Services,Bldg - Other City Facility,2011,2011,Council District: Citywide; Community Plan: Citywide,28827189,40157189,This annual allocation provides for City facilities and public right of way improvements related to the Americans with Disabilities Act (ADA). Funding ADA obligations is one of the Mayor's eight signifi­ cant areas.,,1425000,9905000,0,0,0,0,0,0
2010,Barrio Youth Facilities - ADA Improvements / S01093,161,General Services,Bldg - Other City Facility,,,Council District: 8; Community Plan: Barrio Logan,323913,323913,"This project provides the needed upgrades to the restrooms, reception counter, facility doors and an accessible path of travel to the building entrance and any other required work to ensure accessibility under the Americans with Disabilities Act (ADA).",,0,0,0,0,0,0,0,0
2010,Beach Area Family Health Care / S01029,162,General Services,Bldg - Other City Facility,,,Council District: 2; Community Plan: Mission Beach,30918,30918,This project provides for improvements to the Family Health Center of San Diego / Beach Area Family Care Center. The scope of work for this project includes the construction of new heating ventilation units and drainage improvements.,,0,0,0,0,0,0,0,0
2010,City Administration Building / S00819,163,General Services,Bldg - Other City Facility,,,Council District: 2; Community Plan: Centre City,1198000,6198000,"This project provides for the installation of a fire sprinkler system and upgrading the existing fire alarm system at the City Administration Building located at 202 C Street in Centre City. One component of the project is asbestos spot abatement. All work will be performed during non-working hours allowing the facil­ ity to remain occupied and operational during construction. Phase I provided for the installation of fire sprin­ klers on the 10th, 14th, and 15th floors. Phase II provided for the installation of eight-inch stand pipes and eight-inch basement lateral pipes. Phase III provided for the installation of sprinklers in the basement and on the 11th and 13th floors and a fire alarm system in the basement and on the 10th, 11th, and 13th floors. Included in Phase III was abatement of amosite ceiling tile on the 11th floor. Phase IV will provide for the installation of sprinklers and alarm system for the 1st through the 9th, and 12th floors. Spot asbestos abatement will not be required on the 6th and 7th floors due to prior asbestos abatement.",,5000000,0,0,0,0,0,0,0
2010,City Facilities Improvements / ABT00001,164,General Services,Bldg - Other City Facility,2011,2011,Council District: 6; Community Plan: Kearny Mesa,33614439,38664439,"This annual allocation provides for capital improvements at all City facilities. Potential improvements include roof, heating,ventilation, air-conditioning and elevator replacements.",,0,5050000,0,0,0,0,0,0
2010,Downtown Parking Projects / S01080,165,General Services,Bldg - Other City Facility,,,"Council District: 2, 8; Community Plan: Centre City",1059865,1059865,"This project provides funding to implement and facilitate projects and programs to maximize the use of existing parking resources. Parking management projects and programs include design and implementa­ tion of a wayfinding-parking program throughout downtown that places directional signs in the Downtown San Diego area, implementation of residential parking permits, and payment of debt service. These funds have also been pledged for the payment of 6th Avenue and Market Street, and 6th Avenue and K Street parking facilities.",,0,0,0,0,0,0,0,0
2010,La Jolla Parking Structure / S00897,166,General Services,Bldg - Other City Facility,,,Council District: 1; Community Plan: La Jolla,50000,50000,This project provides for the design of a parking structure in the La Jolla community.,,0,0,0,0,0,0,0,0
2010,Mission Beach Community Clinic - ADA Improvements / S01092,167,General Services,Bldg - Other City Facility,,,Council District: 2; Community Plan: Mission Beach,209853,209853,"This project provides the required upgrades to improve Americans with Disabilities Act (ADA) accessibility to the Mission Beach Community Clinic in compliance with the ADA. The scope of work for this project includes upgrading the accessible parking, wing area, plaza and patio area, providing an accessible path of travel from the sidewalk, and accessible parking to the picnic area and building entrance, and upgrades to the men's and women's restrooms.",,0,0,0,0,0,0,0,0
2010,Modernization of Elevators - City Admin Building / S00697,168,General Services,Bldg - Other City Facility,,,Council District: 2; Community Plan: Centre City,824476,824476,This project provides for the modernization of the elevators in the City Administration Building.,,0,0,0,0,0,0,0,0
2010,Modernization of Elevators - Evan B. Jones Parkade / S00698,169,General Services,Bldg - Other City Facility,,,Council District: 2; Community Plan: Centre City,805926,805925,This project provides for the modernization of the elevators at the Evan V. Jones Parking facili­ tiy (Parkade).,,0,0,0,0,0,0,0,0
2010,Palisades Building Ramp - ADA Improvements / S00620,170,General Services,Bldg - Other City Facility,,,Council District: 3; Community Plan: Balboa Park,70000,70000,This project provides for the construction of a pedestrian ramp at the entrance of the Palisades Building in Balboa Park to comply with the Americans with Disabilites Act (ADA).,,0,0,0,0,0,0,0,0
2010,Roof Replacement / ABT00002,171,General Services,Bldg - Other City Facility,,,Council District: 6; Community Plan: Kearny Mesa,864365,864365,"Various City facilities are in need of roof replacements. This project funded various roof replacements including Museum of Art, Museum of Man, Old Globe Theater and Bud Kearns Pool.",,0,0,0,0,0,0,0,0
2010,San Diego Automotive Museum / S01053,172,General Services,Bldg - Other City Facility,,,Council District: 3; Community Plan: Balboa Park,12000,12000,"This project would provide for the design and construction of accessibility improvements, including an elevator, for the San Diego Automotive Museum.",,0,0,0,0,0,0,0,0
