cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2018,year_2019,year_2020,year_2021,year_2022
2017,Parks - Miscellaneous Parks,273,Park & Recreation,Palisades Park Comfort Station Replace,S10026,,,Council District: 2; Community Plan: Pacific Beach,762711,762711,This project provides for the removal and replacement of the existing comfort,These improvements are necessary to provide Americans with Disabilities Act 2018. This project is complete and will be closed by the end of the fiscal year. (ADA) accessibility to the comfort station which is not currently accessible and to provide an accessible path of travel from the public way to the new facility.,0,0,0,0,0,0
2017,Bldg - Other City Facility / Structures,274,Park & Recreation,Paradise Senior Center Improvements,S15002,,,Council District: 8; Community Plan: Barrio Logan,699999,699999,This project provides for the design and construction of Americans with,"This project will mitigate existing major barriers to accessibility in the parking the ADA barrier removals will begin in Fiscal Year 2018 and will complete as many barrier area, path of travel to the building and major building areas such as the restrooms. removals as funding allows.",0,0,0,0,0,0
2017,a rks - Miscellaneous Parks,275,Park & Recreation,Park de la Cruz Neighborhood Park Improvements,S15003,,,Council District: 9; Community Plan: Mid-City: City Heights,11141903,11141903,This project provides for improvements to Park de la Cruz Neighborhood Park.,This project will provide an additional recreational use to serve residents in this park-deficient community and will create a new one-stop facility for the Therapeutic Recreation Services program.,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,276,Park & Recreation,Park Improvements,AGF00007,2018,2018,Council District: Citywide; Community Plan: Citywide,0,400000,This annual allocation provides for the handling of all,"This annual allocation provides improvements to existing parks that are Sherman Heights Community Center Playground. $250,000 in Encanto Neighborhoods DIF required to meet regulations and community needs. was added for John F. Kennedy Neighborhood Park restroom and playground improvements.",0,400000,0,0,0,0
2017,- Miscellaneous Parks,277,Park & Recreation,Pershing MidSch Joint Use Synthet Turf Replacement,S17007,2018,2018,Council District: 7; Community Plan: Navajo,1200000,1623985,This project provides for the replacement of the synthetic turf at the Pershing,The improvements are necessary to replace the worn turf in accordance with,0,423985,0,0,0,0
2017,Parks - Miscellaneous Parks,278,Park & Recreation,Piazza Famiglia Park,RD16000,,,Council District: 3; Community Plan: Centre City,1000000,1000000,This developer-built project provides for the design and construction of a public,The project implements the Downtown Community Plan’s recommendation for,0,0,0,0,0,0
2017,Trans - Roadway - Enhance/Scape/Medians,279,Park & Recreation,Pomerado Median Improve-N of R Bernardo,S10035,,,Council District: 5; Community Plan: Rancho Bernardo,914220,1114220,This project provides for the renovation and replacement of existing asphalt,This project will enhance the appearance of the corridor through the Construction will be,200000,0,0,0,0,0
2017,Neighborhood,280,Park & Recreation,Rancho Mission Neighborhood Park Play Area Upgrade,S15004,2018,2018,Council District: 7; Community Plan: Navajo,1274694,2074694,This project provides for the design and construction of upgrades to the existing,This project will allow for an upgraded play area as well as accessible paths of Construction is anticipated to begin in Fiscal Year 2018 and be completed in Fiscal Year travel to meet current State and federal safety and accessibility guidelines within the Rancho 2019. Mission Neighborhood Park Play Area Upgrade.,0,800000,0,0,0,0
2017,Parks - Miscellaneous Parks,281,Park & Recreation,Rancho Penasquitos Towne Centre Park Imp,S12003,,,Council District: 5; Community Plan: Rancho Penasquitos,174999,174999,This project provides for the installation of miscellaneous amenities to serve,This project will provide additional recreation amenities to serve the residents,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,282,Park & Recreation,Regional Park Improvements,AGF00005,,,Council District: Citywide; Community Plan: Citywide,1499999,1499999,This annual allocation provides funding for planning and implementation of,San Diego's regional park system contains recreation resources unique to the,0,0,0,0,0,0
2017,Parks - Resource Based,283,Park & Recreation,Resource-Based Open Space Parks,AGE00001,2019,2022,Council District: Citywide; Community Plan: Citywide,3981151,10155649,This annual allocation provides for developing public facilities within the City's,The City's open space acquisitions have resulted in increased interest by,0,0,831484,1728088,3214926,400000
2017,Parks - Neighborhood,284,Park & Recreation,Riviera Del Sol Neighborhood Park,S00999,2018,2018,Council District: 8; Community Plan: Otay Mesa,1920837,8270837,This project provides for land acquisition and development of a 4.9 useable,This project provides population-based park acreage in accordance with the,0,6350000,0,0,0,0
2017,Parks - Miscellaneous Parks,285,Park & Recreation,Rolando Joint Use Facility Development,S15029,,,Council District: 4; Community Plan: Mid-City: Eastern Area,379999,2249999,This project provides for the design and construction of a joint-use facility at,This project will contribute to satisfying population-based park acreage,1870000,0,0,0,0,0
2017,Parks - Neighborhood,286,Park & Recreation,Rolling Hills Neighborhood Park ADA Upgrades,S15021,2018,2018,Council District: 5; Community Plan: Rancho Penasquitos,1091095,1237559,This project provides for Americans with Disabilities Act (ADA) upgrades within,The improvements will help bring the park into compliance with State and requirements. The project,0,146464,0,0,0,0
2017,,287,Park & Recreation,Sage Canyon Concession Bldg-Development / S16035  Parks - Neighborhood,S16035,,,Council District: 1; Community Plan: Carmel Valley,978728,978728,This project provides for the design and construction of a new concession,This project will expand the use of the park and contribute to satisfying,0,0,0,0,0,0
2017,Parks - Neighborhood,288,Park & Recreation,Salk Neighborhood Park & Joint Use Devel,S14007,,,Council District: 6; Community Plan: Mira Mesa,5936685,5936685,This project provides for recreation improvements on 4.1 useable park acres,This project is mitigation for the development of Salk Elementary School,0,0,0,0,0,0
2017,Parks - Community,289,Park & Recreation,San Ysidro Community Park ADA Improvements,S15033,,,Council District: 8; Community Plan: San Ysidro,870709,870709,This project provides for the design and construction of Americans with,This project is needed to provide ADA improvements to comply with federal,0,0,0,0,0,0
2017,,290,Park & Recreation,SD River Dredging Qualcomm Way to SR163 / S00606  Drainage - Channels,S00606,,,Council District: 7; Community Plan: Mission Valley,488999,1088999,This project provides for removal of a small island of sediment within the San,This project will protect adjacent property from potential flooding during rain required in order to meet permit requirements. Construction is anticipated to begin after the events. mitigation site has been approved and funding has been identified for the construction,600000,0,0,0,0,0
2017,Parks - Neighborhood,291,Park & Recreation,Silver Wing Pk Ballfield Lighting - Ph 2,S16051,,,Council District: 8; Community Plan: Otay Mesa - Nestor,707758,707758,This project provides for the design and construction of ball field lighting and,"This project is needed to expand the hours of facility use and its capacity to sports field lighting is estimated to be completed in Fiscal Year 2019. serve the community’s residential growth, and bring the park facilities into compliance with",0,0,0,0,0,0
2017,P  a  rks - Miscellaneous Parks,292,Park & Recreation,Skyline Hills Comm Pk Security Lighting Upgrades,S16021,,,Council District: 4; Community Plan: Skyline - Paradise Hills,149999,149999,This project provides for security lighting upgrades within Skyline Hills,The improvements will help bring the park into compliance with the Park and Paradise Hills Community Plan and is in conformance with the City’s General Plan. Recreation Department’s security light guidelines by providing a more even broadcast of,0,0,0,0,0,0
2017,Parks - Community,293,Park & Recreation,Skyline Hills Community Park ADA Improve,S15038,2018,2018,Council District: 4; Community Plan: Southeastern (Encanto Neighborhoods),1379203,6079203,This project provides for the design and construction of accessibility upgrades,This project corresponds with Project P-10 (ADA Requirements) in the Skyline- Nghbrhood Pk Plygrnd ADA Upgrades. $4.7 million of State grant dollars for park Paradise Hills Public Facilities Financing Plan and ADA accessibility requirements. The improvements tied to affordable housing is anticipated to be added to this project in Fiscal project will expand the use of park facilities to include park patrons with disabilities. Year 2018 and will be used to fully fund the improvements construction costs; actual,0,4700000,0,0,0,0
2017,a  r ks - Neighborhood,294,Park & Recreation,Solana Highlands NP-Comfort Station Development,S16032,,,Council District: 1; Community Plan: Carmel Valley,1650265,1650265,This project provides for the design and construction of a prefabricated comfort,This project will expand the use of the park and contribute to satisfying,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,295,Park & Recreation,Southcrest Trails 252 Corr Park Imp-Ph2,S01071,,,Council District: 9; Community Plan: Southeastern San Diego,2692270,2692270,This project provides for design and construction of an approximate 5.8 gross,This project provides for additional park land in a park deficient area.,0,0,0,0,0,0
2017,Parks - Mini Parks,296,Park & Recreation,Southeastern Mini Park Improvements,L16000,2018,2022,Council District: 8; Community Plan: Southeastern San Diego,1209999,4869999,"This project provides for the design and replacement of playground equipment,",The improvements are necessary to meet accessibility standards. are anticipated to begin in Fiscal Year 2018 and be completed in in Fiscal Year,0,160000,1718695,1631305,75000,75000
2017,P  a rks - Open Space,297,Park & Recreation,Sunset Cliffs Natural Pk Hillside Imp Preserv Phas,L16001,,,Council District: 2; Community Plan: Peninsula,2999290,2999290,"This project will complete improvements to the Sunset Cliffs Natural Park,","This project is needed to preserve and enhance the Sunset Cliffs Natural Park,",0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,298,Park & Recreation,Sunset Cliffs Park Drainage Improvements,L14005,2018,2022,Council District: 2; Community Plan: Peninsula,2455999,11455999,This project provides for drainage improvements at Sunset Cliffs Natural Park,This project will preserve and protect the coastal bluffs at Sunset Cliffs Natural identification of funding. Park from storm water runoff and soil erosion.,5760000,160000,80000,1000000,1000000,1000000
2017,Trans - Roadway - Enhance/Scape/Medians,299,Park & Recreation,Switzer Canyon Bridge Enhancement Prog,S10054,,,Council District: 3; Community Plan: Greater North Park,74999,1299999,"This project provides for bridge landscaping, hardscape, tree planting, signage,","This project provides for a variety of improvements within the boundaries of the Planning Group for community input in Fiscal Year 2018. Design and construction will be Greater North Park Maintenance Assessment District (MAD), which will provide visual",1225000,0,0,0,0,0
2017,Parks - Miscellaneous Parks,300,Park & Recreation,Taft Joint Use Facility Development,S15026,,,Council District: 7; Community Plan: Serra Mesa,3454599,3454599,This project provides for the design and construction of a joint-use facility at,This project will contribute to satisfying population-based park acreage,0,0,0,0,0,0
2017,Trans - Roadway - Street Lighting,301,Park & Recreation,Talmadge Decorative SL Restoration,S00978,,,Council District: 3; Community Plan: Mid-City: Kensington - Talmadge,366799,366799,This project provides for upgrades and improvements to the existing lighting,This project provides for improvements within the boundaries of the Talmadge Plan. MAD which will provide visual neighborhood enhancements.,0,0,0,0,0,0
2017,Trans - Roadway - Enhance/Scape/Medians,302,Park & Recreation,Talmadge Historic Gates,L12001,,,Council District: 9; Community Plan: Mid-City: Kensington - Talmadge,453725,453725,This project provides for the restoration of existing Talmadge Historic Gates,The neighborhood of Talmadge is defined by historic gates located in the,0,0,0,0,0,0
2017,Trans - Roadway - Enhance/Scape/Medians,303,Park & Recreation,Talmadge Traffic Calming Infrastructure,S17001,2018,2018,Council District: 9; Community Plan: Mid-City: Kensington - Talmadge,160000,260000,"This project provides for the design, installation and/or modifications to street",The Talmadge Maintenance Assessment District (MAD) Community Advisory,0,100000,0,0,0,0
2017,Parks - Community,304,Park & Recreation,Tierrasanta CP Sports Field Lighting,S11011,,,Council District: 7; Community Plan: Tierrasanta,1148441,1148441,This project provides for the design and construction of a sport lighting system,This project is needed to expand the hours of facility use and its capacity to fiscal year. serve the community's residential growth.,0,0,0,0,0,0
2017,Trans - Roadway - Enhance/Scape/Medians,305,Park & Recreation,Torrey Highlands Community ID & Enhance,S11009,,,Council District: 5; Community Plan: Torrey Highlands,374999,374999,This project provides for community identification signage and enhancements,This project is consistent with the Torrey Highlands MAD Assessment,0,0,0,0,0,0
2017,Parks - Neighborhood,306,Park & Recreation,Torrey Highlands NP Upgrades,S16036,,,Council District: 1; Community Plan: Carmel Valley,763215,998293,This project provides for the design and construction of an additional parking,This project will expand the use of the park and contribute to satisfying Valley Community Plan and is in conformance with the City’s General Plan. population-based park acreage requirements as set forth in the City’s General Plan to serve,235078,0,0,0,0,0
2017,,307,Park & Recreation,Torrey Highlands Park Play Area Upgrades / S11020  Parks - Neighborhood,S11020,,,Council District: 1; Community Plan: Carmel Valley,942734,942734,This project provides for Americans with Disabilities Act upgrades and,This project is needed to upgrade existing site improvements and play area,0,0,0,0,0,0
2017,Parks - Neighborhood,308,Park & Recreation,Torrey Hills NP Development,S13007,,,Council District: 1; Community Plan: Torrey Hills,999999,999999,This project provides for recreational improvements on four undeveloped acres,This project will contribute to satisfying population-based park requirements improvements at this site. set forth in the General Plan to serve residents in this park-deficient community.,0,0,0,0,0,0
2017,Parks - Neighborhood,309,Park & Recreation,Torrey Meadows Neighborhood Park,S00651,,,Council District: 5; Community Plan: Torrey Highlands,7922754,7922754,"This project provides for the acquisition, design and construction of a five",This project will contribute to satisfying the population-based park acreage,0,0,0,0,0,0
2017,Golf Courses,310,Park & Recreation,Torrey Pines Golf Course,AEA00001,2018,2018,Council District: 1; Community Plan: University,1307128,6807128,This annual allocation provides for the unexpected replacement of minor capital,This annual allocation will provide a capital assets cost-avoidance program University Community Plan and is in conformance with the City's General Plan. allowing for the timely replacement of unanticipated failure of golf capital assets.,0,5500000,0,0,0,0
2017,,311,Park & Recreation,Torrey Pines N. Golf Course-Improvements / S14019  Golf Courses,S14019,,,Council District: 1; Community Plan: University,14169999,14169999,This project provides for improvements and updates to the golf course to,"Enhance the playability of the course for resident golfers, while improving Design documents were completed in Fiscal Year 2016. Construction began in Fiscal Year course conditions for private and professional tournaments. In addition, updates to the 2016 and was completed in Fiscal Year 2017. irrigation system and reductions in turf areas will conserve recycled water and energy.",0,0,0,0,0,0
2017,,312,Park & Recreation,Trail for All People / S13001  Parks - Trails,S13001,,,Council District: 5; Community Plan: Black Mountain Ranch,535999,535999,"This project provides for design and construction of a 1,100 linear foot paved","This project will provide a unique trail experience for park users, specifically",0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,313,Park & Recreation,Tubman Charter School JU Improvements,S13000,2018,2020,Council District: 9; Community Plan: College Area,1179999,4959999,This project provides for design and construction of approximately 1.72 acres of,This project will contribute to satisfying population-based park acreage facility will begin upon identification of sufficient funding. requirements set forth in the General Plan to serve residents in this park-deficient,0,1580000,0,2200000,0,0
2017,Parks - Neighborhood,314,Park & Recreation,University Village Park Tot Lot,S13005,2018,2018,Council District: 1; Community Plan: University,695252,845252,This project provides for a new children’s play area where no playground,This project will contribute to satisfying population-based park requirements,0,150000,0,0,0,0
2017,Parks - Mini Parks,315,Park & Recreation,Valencia Park Acquisition & Development,S11103,2018,2018,Council District: 4; Community Plan: Southeastern (Encanto Neighborhoods),1315850,1666837,"This project provides for the acquisition, design and construction of",This project will contribute to satisfying population-based park acreage to begin in Fiscal Year 2019. requirements set forth in the City's General Plan in a community currently deficient in,0,350987,0,0,0,0
2017,Parks - Neighborhood,316,Park & Recreation,Villa Monserate Neighborhood Park Upgrades,S16048,,,Council District: 7; Community Plan: Tierrasanta,789899,2054999,This project provides for the design and construction of an expansion to the,This project will expand the use of the park and contribute to satisfying,1265100,0,0,0,0,0
2017,Parks - Miscellaneous Parks,317,Park & Recreation,Wangenheim Joint Use Facility,S15007,,,Council District: 6; Community Plan: Mira Mesa,5643210,5643210,This project provides for the design and construction to expand the existing joint,This project will contribute to satisfying population-based park acreage Benefit Assessment funds was allocated to this project. The project,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,318,Park & Recreation,Wegeforth Elementary School Joint Use,S00764,,,Council District: 7; Community Plan: Serra Mesa,3346243,3346243,This project provides for the design and construction of approximately four,This project will contribute to satisfying the population-based park acreage Construction began in Fiscal Year 2015 and was completed in Fiscal Year 2016. Project requirements set forth in the City's General Plan. warranty will be completed in Fiscal Year 2017.,0,0,0,0,0,0
2017,Parks - Mini Parks,319,Park & Recreation,West Maple Canyon MP,S00760,,,Council District: 3; Community Plan: Uptown,1165963,1165963,This project provides for the design and construction of a 0.25 acre mini-park to,This project will contribute to satisfying the population-based park acreage,0,0,0,0,0,0
2017,Parks - Neighborhood,320,Park & Recreation,Wightman Street Neighborhood Park,S00767,,,Council District: 9; Community Plan: Mid-City: City Heights,3480779,3480779,This project provides for the design and development of Wightman Street,This project will contribute to satisfying the population-based park acreage will extend until January 2022. requirements set forth in the City's General Plan.,0,0,0,0,0,0
2017,Bldg - Pub Safety - Police Fac / Struct,332,Police,CAD System Replacement Project,S13100,,,Council District: Citywide; Community Plan: Citywide,8254820,8254820,This project provides for the replacement of the Police Department Computer,"The current CAD system does not meet acceptable industry standards for high applicable community plans and is in conformance with the City's General Plan. availability or emergency site recovery. Over the past 25 years, the CAD system has been",0,0,0,0,0,0
2017,Bldg - Pub Safety - Police Fac / Struct,333,Police,Enterprise Radio/Phone Logger,S15025,,,Council District: Citywide; Community Plan: Citywide,1697882,1697882,The Enterprise Radio/Phone Logger project is a joint project between the Police,The Police Department had an antiquated radio/phone logger system that was 2018. in service for many years and had become unreliable. The new system includes redundancy,0,0,0,0,0,0
2017,Bldg - Pub Safety - Police Fac / Struct,334,Police,Police 911 Call Manager,S15024,,,Council District: 3; Community Plan: Centre City,1230275,1230275,The Police 9-1-1 Call Manager is the phone system used by the Police,The Police Department currently uses an older version of the VESTA/9-1-1,0,0,0,0,0,0
2017,Bldg - Pub Safety - Police Fac / Struct,335,Police,Police HQs CoGeneration Repower Project,S10131,,,Council District: 3; Community Plan: Centre City,1933084,1933084,This project will replace existing chiller system components necessary to,This project will provide the facility with a more reliable system.,0,0,0,0,0,0
2017,Bldg - Pub Safety - Police Fac / Struct,336,Police,Police Range Refurbishment,S10118,,,Council District: 9; Community Plan: Mid-City: City Heights,2092863,2092863,"Phase I of this project will include improvements, such as ADA restrooms, path",This project will provide for the refurbishment of the existing police shooting completed in Fiscal Year 2017. The warranty phase of this project will be completed in Fiscal range. Year 2018.,0,0,0,0,0,0
2017,Water - Distribution Sys - Transmission,348,Public Utilities,30th Street Pipeline Replacement,S12010,2018,2019,Council District: 3 8; Community Plan: Priority Category:       Medium,2921186,22499999,This project will replace approximately 6 miles of existing cast iron (CI) mains,The pipeline has been paralleled by the newer 28th Street Pipeline south of conformance with the City's General Plan. Thorn Street and no longer serves as an important transmission route to University Heights,0,8000000,11578813,0,0,0
2017,Bldg - Water - Pump Stations,349,Public Utilities,69th & Mohawk Pump Station,S12011,2018,2019,Council District: 4 9; Community Plan: College Area; Mid-City: Eastern Area,5614628,18478613,This project will construct a new pump station at the corner of 69th Street and,This project will replace the existing 40 year old Montezuma Pump Station,0,6000000,6863985,0,0,0
2017,Bldg - Other City Facility / Structures,350,Public Utilities,Advanced Metering Infrastructure,S17008,2018,2019,Council District: Citywide; Community Plan: Citywide,38375589,67568897,This project will deploy Advanced Metering Infrastructure (AMI) technology to,"This project will streamline the collection of water meter information, provide City's Climate Action Plan. near real time data, assist with promptly solving water usage and billing questions, and",0,27411444,1781864,0,0,0
2017,Water - Distribution Sys - Transmission,351,Public Utilities,Alvarado 2nd Extension Pipeline,S12013,2018,2022,Council District: 2 3 7; Community Plan: Mission Valley; Mission Bay Park; Old San Diego,1703985,59045999,The Alvarado 2nd Extension Pipeline Project is proposing to build a new 48-,"This project was driven by the need to provide redundant transmission to the coastal zones of La Jolla and Pacific Beach for supply reliability. The proposed Alvarado 2nd Extension Pipeline will be the main feed to Pacific Beach Zones. With the new pipeline feeding from the Alvarado WTP, the San Diego County Water Authority (CWA) treated water intake at San Diego Connection #11 which currently feed those zones will greatly reduce. This will also provide supply flexibility between the Alvarado and Miramar WTP Service Areas.",0,2500000,2500000,25000000,25000000,2342014
2017,Wastewater - Collection Sys - Trunk Swr,352,Public Utilities,Alvarado Trunk Sewer Phase IV,S15019,2018,2022,Council District: 7 9; Community Plan: Navajo; College Area,3199999,28895999,This project will replace and upsize 3.12 miles of the Alvarado Trunk Sewer to,This trunk sewer will be upgraded with a larger pipe to improve capacity and,0,2000000,250000,3000000,7000000,13446000
2017,Bldg - MWWD - Pump Stations,353,Public Utilities,"Backup Generators at SPS's, TP & EMTS",S12036,,,Council District: 1 5 8; Community Plan: University; Miramar Ranch North; Barrio Logan; Torrey Pines,15345599,15345599,This project will purchase seven generators and provide a design-build contract,This project is necessary to prevent environmental damage from sewer spills Year 2016. and prevention of permit violation issues when regional electrical black-outs occur.,0,0,0,0,0,0
2017,Bldg - Other City Facility / Structures,354,Public Utilities,Bayview Reservoir Solar Project,S14021,,,Council District: 1; Community Plan: La Jolla,2324999,2324999,"This project includes the design, installation, and interconnection of",Project complies with the City’s Solar Implementation Plan and will provide,0,0,0,0,0,0
2017,Water - Distribution Sys - Transmission,355,Public Utilities,Catalina 12inch Cast Iron Mains,S12008,2018,2018,Council District: 2; Community Plan: Peninsula,10939999,12479999,"This project will replace and install approximately 16,000 linear feet of existing","This project will replace cast iron pipe, provide supply reliability to the Catalina cast iron (CI) pipeline (size varies) with PVC pipeline and cement mortar lined and coated Pump Station service area, and improve water quality. steel pipeline (CMLCS) on Catalina Blvd. The scope of work includes but is not limited to",0,1540000,0,0,0,0
2017,,356,Public Utilities,Chollas Building / S11025  Bldg - Operations Facility / Structures,S11025,2018,2019,Council District: 4; Community Plan: Mid-City: Eastern Area,11599999,40476869,This project will construct two new buildings: one two-story building for,This project will allow for Water Operations Division to consolidate their staff in,0,17006500,11870370,0,0,0
2017,Bldg - Water - Pump Stations,357,Public Utilities,Cielo & Woodman Pump Station,S12012,2018,2020,Council District: 4; Community Plan: Southeastern (Encanto Neighborhoods),1531999,6677999,This project provides for the replacement of the Cielo and Woodman Pump,"This project will replace a deteriorating pump station facility and cast iron completed in Fiscal Year 2020. mains that lead to the station. According to year 2030 demands, the Otay Water Treatment",0,1000000,2500000,1646000,0,0
2017,Water - Distribution Sys - Transmission,358,Public Utilities,Corrosion Control,AKA00001,,,Council District: Citywide; Community Plan: Citywide,479784,479784,This annual allocation provides for renovating or replacing deteriorating,Deteriorating corrosion control and monitoring systems are in need of community plans and is in conformance with the City's General Plan. rehabilitation. This annual allocation provides for an ongoing program to rehabilitate over 600,0,0,0,0,0,0
2017,,359,Public Utilities,Del Mar Heights Pipeline Relocation / S00070  Water - Distribution Sys - Distribution,S00070,,,Council District: 1; Community Plan: Del Mar Mesa; Pacific Highlands Ranch,7949999,7949999,This project will provide for the relocation and upsizing of an existing 36-inch,"Future maintenance of this facility is enhanced when it is in an accessible and the West Community Plan boundary to Carmel Valley Road and includes the bridge by-pass) convenient location such as a public street right-of-way. This project will relocate the pipeline and Phase 2 (Carmel Valley Road to Mona Lane) construction is complete. Reimbursements so that it can be easily maintained, repaired, and serviced in the future. to developer should be completed in Fiscal Year 2018.",0,0,0,0,0,0
2017,Water - Distribution Sys - Distribution,360,Public Utilities,El Monte Pipeline No 2,S10008,2019,2020,Council District: 7; Community Plan: Navajo,2947999,17921009,This project consists of the replacement of three pipe segments as well as the,The replacement and repairs are needed to mitigate the potential of a pipeline,0,0,8300000,6673010,0,0
2017,Bldg - MWWD - Laboratories,361,Public Utilities,EMTS Boat Dock and Steam Line Relocation,S00319,2019,2019,Council District: 2; Community Plan: Peninsula,518534,2018534,The Environmental Monitoring and Technical Services (EMTS) Laboratory Boat,"As part of a Public Benefit Conveyance (PBC) from the federal government, begin in Fiscal Year 2018. MWWD designed and constructed a 40,000 square foot ocean monitoring laboratory which is",0,0,1500000,0,0,0
2017,Water - Distribution Sys - Distribution,362,Public Utilities,Freeway Relocation,AKB00002,2019,2022,Council District: Citywide; Community Plan: Citywide,2089774,2489774,This annual allocation provides funding to relocate water lines in conflict with,Waterline relocation is required by the State Department of Transportation's community plans and is in conformance with the City's General Plan. effort to expand the State Highway System. Relocation projects are accomplished in,0,0,100000,100000,100000,100000
2017,Bldg - Water - Wells,363,Public Utilities,Groundwater Asset Development Program,ABM00001,2018,2020,Council District: Citywide; Community Plan: Citywide,1977604,4370012,"This annual allocation provides for investigation work related to legal, technical,",The City imports 90 percent of its water from the Colorado River and the State through Fiscal Year 2021 and beyond. Water Project. The City has access to several under-utilized groundwater assets that could,0,700000,1585559,106849,0,0
2017,Wastewater - Collection Sys - Trunk Swr,364,Public Utilities,Harbor Dr TS Participation Agreement,RD16001,2018,2019,Council District: 3 8; Community Plan: Barrio Logan,791249,13422831,Participation agreement with Ballpark Village LLC to upsize the existing 12-,"The Harbor Drive Trunk Sewer is constructed of Techite pipe, which is known",0,1000000,11631582,0,0,0
2017,Water - Distribution Sys - Distribution,365,Public Utilities,Instrumentation and Control,AKB00007,2019,2022,Council District: Citywide; Community Plan: Citywide,200000,2200000,This Annual Allocation provides for replacement and upgrades of the existing,The existing control system is outdated and exceeded its life cycle. This,0,0,500000,500000,500000,500000
2017,,366,Public Utilities,La Jolla Scenic Drive 16inch Main / S12009  Water - Distribution Sys - Transmission,S12009,2018,2018,Council District: 1; Community Plan: La Jolla,6039641,9231999,"This project provides for replacement of 6-inch, 8-inch, and 12-inch pipelines","The current distribution grid has insufficient capacity to meet fire flow Fiscal Year 2018. requirements, and is a bottleneck that leads to two isolated portions of the 725 Zone. If either of the pump/reservoir tandems that feed the zone go out of service, feed from the other tandem could not effectively be moved across the zone.",0,3192358,0,0,0,0
2017,Water - Distribution Sys - Distribution,367,Public Utilities,La Jolla View Reservoir,S15027,2018,2020,Council District: 1; Community Plan: La Jolla,2484999,25335312,This project will provide for the construction of a new 3.11 MG prestressed,This project will replace the existing La Jolla View Reservoir which will improve,0,440000,12100000,10310313,0,0
2017,Water - Distribution Sys - Transmission,368,Public Utilities,Large Diameter Water Transmission PPL,AKA00003,2018,2022,Council District: Citywide; Community Plan: Citywide,16072356,82962807,This annual allocation allows for the replacement of 16-inch and larger diameter,"This annual allocation provides for the replacement of large diameter pipelines $5.0 million due to revised requirements. Additionally, in Fiscal Year 2017, the City Council that are in a deteriorated condition or have reached the end of their service life. authorized the appropriation of $1.6 million.",0,16343400,11909612,9945083,14346178,14346178
2017,Water - Distribution Sys - Transmission,369,Public Utilities,Little McGonigle Ranch Road Pipeline,S00069,2018,2018,Council District: 1; Community Plan: Del Mar Mesa; Pacific Highlands Ranch,3563999,5999999,This reimbursement project provides for the construction of approximately,"The pipeline is required to provide capacity in the water system to adequately 15,800 linear feet of 30-inch diameter water transmission pipeline in Carmel Mountain Road supply the demand resulting from the build-out of the Del Mar Mesa and Pacific Highlands and Little McGonigle Ranch Road within the Del Mar Mesa and Pacific Highlands Ranch Ranch communities. communities to provide capacity for both Del Mar Mesa and Pacific Highlands",0,2436000,0,0,0,0
2017,Bldg - Water - Reservoirs/Dams,370,Public Utilities,Lower Otay Outlet Tower,S12018,2019,2019,Council District: Non-City; Community Plan: Non City,999999,1990810,This project provides for the upgrade/replacement of the Lower Otay Outlet,Seismic analysis concluded that the tower's concrete has an overstress in completed in Fiscal Year 2021. flexural tension. Both the tower and the tower foundation are in danger of failure.,0,0,990811,0,0,0
2017,Bldg - Water - Reservoirs/Dams,371,Public Utilities,Lower Otay Reservoir Emer Outlet Improve,S00044,,,Council District: 8; Community Plan: Non City,1179970,1179970,This project provides for the installation of two sluice gates on the auxiliary,The State Department of Safety of Dams requires an emergency draw-down 2017. capability of 10 percent of reservoir capacity in 10 days. Lower Otay Reservoir (backed up by,0,0,0,0,0,0
2017,Bldg - MWWD - Treatment Plants,372,Public Utilities,MBC Biosolids Storage Silos,S00322,,,Council District: 6; Community Plan: Non City,8547837,8547837,This project provides for two additional biosolid storage silos (numbers 9 and,"When a silo is out of service, silo storage capacity is frequently exceeded. In City's General Plan. order to accommodate such events and to restore adequate silo capacity, it is essential to",0,0,0,0,0,0
2017,Bldg - MWWD - Treatment Plants,373,Public Utilities,MBC Dewatering Centrifuges Replacement,S00339,,,Council District: 6; Community Plan: Non City,12122442,12122442,This project provides for the replacement of six of the eight existing dewatering,"This project will increase the production capacity of the dewatering centrifuges completed by Fiscal Year 2019. to accommodate plant shutdowns for maintenance and construction, to accommodate future",0,0,0,0,0,0
2017,Bldg - MWWD - Treatment Plants,374,Public Utilities,MBC Equipment Upgrades,S17013,2018,2018,Council District: 6; Community Plan: Kearny Mesa,700000,1100000,The Metropolitan Biosolids Center (MBC) is the City's regional solids,"To ensure that the plant operates reliably and efficiently, process equipment processing facility that receives biosolids from the Point Loma Wastewater Treatment Plant associated with anaerobic digestion and sludge dewatering must be replaced. and the North City Water Reclamation Plant. To ensure that the plant operates reliably and",0,400000,0,0,0,0
