cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2018,year_2019,year_2020,year_2021,year_2022
2017,Landfills - Supporting Fac / Struct,118,Environmental Services,CNG Fueling Station for Refuse & Recycling,S15000,2018,2018,Council District: 1; Community Plan: University,4069999,5299999,This project provides for the design and construction of a compressed natural,This project provides for the necessary infrastructure to convert Environmental in Fiscal Year 2018. Services fleet refuse and recycling vehicles from low sulfur diesel to compressed natural gas.,0,1230000,0,0,0,0
2017,Landfills,119,Environmental Services,Minor Improvements to Landfills,AFA00001,2018,2022,Council District: Citywide; Community Plan: University,1634975,2634975,This annual allocation provides for minor improvements to existing sanitary,"This project provides the flexibility for timely initiation of minor improvements landfills to comply with operating permits and regulatory requirements. Such improvements and construction needed to meet operational and solid waste regulatory mandates such as may include fencing, access roads, drains, small structures, and environmental protection drainage, grading, and groundwater monitoring improvements. projects. This project also provides for minor improvements to existing groundwater",0,200000,200000,200000,200000,200000
2017,Landfills,120,Environmental Services,Miramar Landfill Facility Improvements,L17000,2018,2022,Council District: 6; Community Plan: University; Kearny Mesa; Clairemont Mesa,19599999,29599999,This project provides CIP Facility Improvements at the West Miramar Landfill,The Environmental Services Department (ESD) is responsible for managing,0,2000000,2000000,2000000,2000000,2000000
2017,Landfills,121,Environmental Services,Miramar Landfill Gas Recovery Improvemen,S16052,2018,2019,Council District: 6; Community Plan: University; Kearny Mesa; Clairemont Mesa,1000000,6400000,This project provides for a consolidated blower system and well field,This project is needed to ensure the landfill will meet regulatory requirements,0,4300000,1100000,0,0,0
2017,Landfills,122,Environmental Services,Miramar Landfill Storm Water Improvement,S16054,2018,2022,Council District: 6; Community Plan: University; Kearny Mesa; Clairemont Mesa,999999,6999999,This project provides for the design and construction of Storm Water Basin and,The storm water basin and associated BMP engineered structures at the General Plan. Miramar Landfill must be properly designed and constructed to ensure compliance with,0,2000000,1000000,1000000,1000000,1000000
2017,Landfills - Supporting Fac / Struct,123,Environmental Services,South Chollas Landfill Improvements,S00684,,,Council District: 4; Community Plan: Mid-City: Eastern Area,15828623,15828623,"This project provides for cover material, grading, drainage, and site",This project is required to maintain compliance with various State and federal regulatory requirements and to avoid code violations.,0,0,0,0,0,0
2017,Bldg - Other City Facility / Structures,124,Environmental Services,West Miramar Landfill - Phase 2,S00774,,,Council District: 6; Community Plan: University; Kearny Mesa; Clairemont Mesa,3059999,3059999,This project provides for a landfill gas collection system for the West Miramar,This improvement is required to maintain compliance with various State and Construction began in Fiscal Year 2017 and is,0,0,0,0,0,0
2017,Bldg - Pub Safety - Lifeguard Stations,133,Fire-Rescue,Children's Pool Lifeguard Station,S00644,,,Council District: 1; Community Plan: La Jolla,4524606,4524606,This project provides for a new lifeguard station and family restroom at the,The previous Lifeguard Tower structure was no longer safe and has been,0,0,0,0,0,0
2017,Bldg - Pub Safety - Fire Fac / Struct,134,Fire-Rescue,Fire Station No. 02 - Bayside,S15042,,,Council District: 3; Community Plan: Centre City - Little Italy,20021283,20021283,"This project provides for the program, design, and construction of a new fire",This project will add the much needed brand new fire station west of the,0,0,0,0,0,0
2017,Bldg - Pub Safety - Fire Fac / Struct,135,Fire-Rescue,Fire Station No. 05 - Hillcrest,S00788,,,Council District: 3; Community Plan: Uptown,9179922,9179922,"This project provides for an approximately 10,500 square foot fire station",The current station is 49 years old. The water and sewer service to the existing,0,0,0,0,0,0
