cip_year,source_page,department,project_type,project_name,project_id,address_location,previous_appropriations,project_total,project_description,project_justification,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016_2020,unidentified_funding,start_year,end_year,computed_total,residual,validation_label
2009,357,Metropolitan Wastewater,Sewer - Metropolitan,Metro Facilities Control System Upgrade,45-966.0,Council District: Citywide; Community Plan: Citywide,8020034,25493034,"This project provides for replacement and upgrade of existing control systems at various Metropolitan Wastewater treatment and pump station facilities. These include the Metro Biosolids Center, North City Water Reclamation Plant, Point Loma Treatment Plant, and South Bay Water Reclamation Plant.",This project is needed to provide replacement of existing control systems at various facilities. The existing control systems are microprocessor/computer-based. The life cycle of these systems is seven to ten years. The control systems at these facilities entered the life cycle replacement phase in Fiscal Year 2007. Replacement will also provide an upgrade in technology. The change in technology will provide the facilities with greater control system capabilities and are essential for future facility expansion.,0,4180000,3560000,1870000,863000,0,7000000,0,2011,2020,25493034,0,
2009,358,Metropolitan Wastewater,Sewer - Metropolitan,NCWRP - EDR Enclosure,45-993.0,Council District: 1; Community Plan: University,0,500000,This project will provide an enclosure around the Electro Dialysis Reversal (EDR) at the North City Water Reclamation Plant (NCWRP) to prevent harmful ultraviolet rays and coastal high salinity environmental levels from attacking existing equipment.,"When the EDR was constructed, it was supposed to be a temporary facility with no enclosure. As a result, the EDR's cartridge filters, pumps, piping and other associated equipment are currently open to the environment and therefore are prone to ultraviolet light attack and a high salinity environment. The EDR enclosure will prevent equipment from prematurely failing due to ultraviolet light attack.",240000,260000,0,0,0,0,0,0,2010,2011,500000,0,
2009,359,Metropolitan Wastewater,Sewer - Metropolitan,North City Water Reclamation Plant - Electro Dialysis Reversal Upgrade,45-992.0,Council District: 1; Community Plan: University,476513,1576513,"This project provides for the upgrade of the electro dialysis reversal (EDR) equipment at the North City Water Reclamation Plant including piping, pumps and a chemical feed system.","The EDR was constructed to be a temporary facility with no enclosure. As a result, the EDR's cartridge filters, pumps, piping, and other associated equipment are currently open to the environment and are prone to ultraviolet light attack and a high salinity environment.",230000,335000,535000,0,0,0,0,0,2010,2012,1576513,0,
2009,360,Metropolitan Wastewater,Sewer - Metropolitan,North City Water Reclamation Sludge Pump Station Upgrade,41-942.0,Council District: 1; Community Plan: University,237120,707096,This project provides for correction of a vibration problem at the North City Water Reclamation Plant (NCWRP) Sludge Pump Station.,"Excessive vibration of the pump and flywheel contribute to wear and tear of equipment. The vibration also generates tremendous heat. The excessive vibration and heat can cause premature failure of equipment, impact operational efficiency and have structural impacts at the facility.",150000,319976,0,0,0,0,0,0,2010,2011,707096,0,
2009,361,Metropolitan Wastewater,Sewer - Metropolitan,Point Loma - Grit Processing Improvements,45-943.0,Council District: 2; Community Plan: Peninsula,8301864,46667661,This project provides for upgrading the existing grit removal process at the Point Loma Wastewater Treatment Plant which includes new grit agitation blowers enclosed in a sound dampening facility and the associated air piping.,The Point Loma Wastewater Treatment Plant has six aerated grit removal tanks. Grit removal from influent flows was found to be more efficient when the two south grit tanks were not used. The plant is not achieving desirable grit removal because the existing grit processing equipment is unable to extract fine sand or silt. The grit accumulated downstream of the grit tanks reduces the efficiency of processing equipment and minimizes the biosolid treatment in the digesters.,0,3173837,13578282,13847633,7766045,0,0,0,2011,2014,46667661,0,
2009,362,Metropolitan Wastewater,Sewer - Metropolitan,Point Loma - South Access Road Protection Project,45-960.0,Council District: 2; Community Plan: Peninsula,351698,737620,"This project provides for continued access to the Point Loma Wastewater Treatment Plant and investigates, and may implement, options to mitigate erosion at two sea coves adjacent to the plant's access road.",The treatment plant has only one access road as granted by the federal government and this project is needed to ensure continued access.,0,0,0,0,0,0,385922,0,2016,2020,737620,0,
2009,363,Metropolitan Wastewater,Sewer - Metropolitan,Pump Station 2 Onsite Standby Power,45-915.0,Council District: 2; Community Plan: Midway/Pacific Highway Corridor,129481,10113481,This project provides for the replacement of two of the existing on-site substation transformers to 10 million volt-amp (MVA) capacity and the replacement of two existing engine pumps with two 3-megawatt engine generators. This will provide the station with four 50 percent utility feeds to comply with Environmental Protection Agency (EPA) power requirements.,"The current utility power system does not meet the required EPA power requirements. Two of the existing utility feeds are only rated at 5 MVA with the third rated at 10 MVA. All feeds are limited to two pumps, except during emergency conditions, which provide less than 50 percent of the possible demand. By upgrading the two 5 MVA feeds to 10 MVA and installing a fourth 10 MVA feed, the station will have four 50 percent feeds which will comply with the EPA required two 100 percent feeds. This will also enhance station reliability by allowing any pump to be powered by the engine generators instead of pumps 4 and 5 as currently configured. This will provide the station with four 50 percent utility feeds to comply with (EPA) power requirements.",748800,4992000,4243200,0,0,0,0,0,2010,2012,10113481,0,
2009,364,Metropolitan Wastewater,Sewer - Metropolitan,South Bay Water Reclamation Plant Demineralization Facility Phases I & II,42-930.0,Council District: 8; Community Plan: Tia Juana River Valley,622839,26067262,This project provides for demineralization of reclaimed water. Phase I will construct a demineralization facility to provide 7.5 million gallons a day (mgd) of reclaimed water for conveyance to the users. Phase II will expand the facility to provide 15 mgd of reclaimed water.,The majority of reclaimed water is used for irrigation. Too high a level of total dissolved solids (TDS) in the reclaimed water can affect agronomic conditions. Demineralization will reduce the level of TDS in the reclaimed water.,0,8364489,5966278,783805,912489,4094505,5322857,0,2011,2020,26067262,0,
2009,365,Metropolitan Wastewater,Sewer - Metropolitan,Wet Weather Storage Facility - Phase I,45-940.0,"Council District: 1, 2; Community Plan: Citywide",2710860,92449047,This project provides a seven-million gallon storage facility to intercept peak wet-weather flows generated in the Metropolitan Sewage System. This project also includes the study of intermittent stream discharge as an alternative to a storage facility.,"The facility will reduce the risk of potential wet weather overflows, which may be caused by the capacity limitation of the Metro Pump Station 2 during extreme rainfall events.",280766,432640,4932125,64698,4141808,14213094,65673056,0,2010,2020,92449047,0,
2009,366,Metropolitan Wastewater,Sewer - Municipal,Annual Allocation - CIP Contingencies,46-193.0,Council District: Citywide; Community Plan: Citywide,,2593094,This annual allocation provides for Capital Improvements Program (CIP) contingency needs for Municipal Sewer projects.,This project will provide better CIP budget control. Project contingency needs (except annual allocation projects) will be met by this annual allocation.,2593094,,,,,,,,2010,2010,2593094,0,
2009,367,Metropolitan Wastewater,Sewer - Municipal,Annual Allocation - Pipeline Rehabilitation,46-050.0,Council District: Citywide; Community Plan: Citywide,,32489711,This annual allocation provides for the rehabilitation and repair of sewers and manholes at various locations within the City.,"This annual allocation provides for the extension of the useful life of sewers and manholes, improvements in the level of service to the residents of San Diego, and compliance with regulatory agencies' standards by reducing the impact of sewer spills.",32489711,,,,,,,,2010,2010,32489711,0,
2009,368,Metropolitan Wastewater,Sewer - Municipal,"Annual Allocation - Pump Stations 64, 65, Penasquitos and East Mission Gorge",41-927.0,"Council District: 1, 7; Community Plan: Mission Trails Regional Park, Navajo, University",,540496,"This annual allocation provides for the comprehensive upgrades, design modifications, and major/minor renovations or replacement of equipment, such as pumps, valves, tanks, controls, and odor control systems at the pump stations.",These improvements will allow the pump stations to run more efficiently and increase the reliability of the Municipal Wastewater System.,540496,,,,,,,,2010,2010,540496,0,
2009,369,Metropolitan Wastewater,Sewer - Municipal,Annual Allocation - Sewer Main Replacements,44-001.0,Council District: Citywide; Community Plan: Citywide,,41807474,This annual allocation provides for the replacement of sewer mains at various locations within the City.,This annual allocation provides for the replacement of sewer mains that are in a deteriorated condition or are undersized.,41807474,,,,,,,,2010,2010,41807474,0,
