cip_year,source_page,department,project_type,project_name,project_id,address_location,previous_appropriations,project_total,project_description,project_justification,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,start_year,end_year,computed_total,residual,validation_label
2008,385,Park & Recreation,Facilities - Eng,North Park Lighting Improvement Project,39-092.0,Council District: 3; Community Plan: Greater North Park,337860,386340,This project provides for the installation of approximately 150 street lights within the boundaries of the North Park Maintenance Assessment District (MAD).,The North Park MAD was formed in 1996. The Assessment Engineer's report calls for the addition of approximately 150 new mid-block street lights and streetscape improvements.,0,0,48480,0,0,0,0,0,0,0,0,0,2010,2010,386340,0,
2008,386,Park & Recreation,Golf Course,Balboa Park Golf Course - Clubhouse and Parking Lot,21-843.0,Council District: 3; Community Plan: Balboa Park,504010,8038130,"This project provides for a master plan, design, and construction of a new clubhouse and a parking lot at the Balboa Park Golf Course.",Currently the clubhouse is inadequate and there is insufficient parking available to serve users of the golf course.,0,0,0,0,0,634120,400000,6500000,0,0,0,0,2013,2015,8038130,0,
2008,387,Park & Recreation,Golf Course,Balboa Park Golf Course - Irrigation System - Upgrades,25-019.0,Council District: 3; Community Plan: Balboa Park,1800000,1800000,This project provides for a new irrigation system for the 18-hole golf course at Balboa Park.,"This project provides for replacement of the existing, antiquated, deteriorated, and inefficient irrigation system.",0,0,0,0,0,0,0,0,0,0,0,0,,,1800000,0,
2008,388,Park & Recreation,Golf Course,Balboa Park Golf Course: Concrete Step and Hand Railing Replacement,25-008.0,Council District: 3; Community Plan: Balboa Park,100000,250000,This project provides for replacement of wooden steps with concrete steps and hand railings on the 18-hole golf course at Balboa Park.,"Replacement of existing, worn wooden steps with concrete steps and hand rails is needed for safety precautions.",0,150000,0,0,0,0,0,0,0,0,0,0,2009,2009,250000,0,
2008,389,Park & Recreation,Golf Course,Mission Bay Course Golf Course - New Irrigation System,25-017.0,Council District: 6; Community Plan: Mission Bay Park,100000,100000,This project provides for a new irrigation system for the Mission Bay Golf Course and Practice Center.,"This project provides for replacement of the existing, antiquated, deteriorated, and inefficient irrigation system.",0,0,0,0,0,0,0,0,0,0,0,0,,,100000,0,
2008,390,Park & Recreation,Golf Course,Mission Bay Golf Course and Practice Center - Existing Building Improvements,25-015.0,Council District: 6; Community Plan: Mission Bay Park,400000,400000,"This project provides upgrades to the existing, antiquated building for Americans with Disabilities Act requirements, deferred building maintenance, tenant improvements, and code upgrades at the Mission Bay Golf Course Practice Center.","These improvements are necesssary to comply with current codes, address maintenance needs, and increase the viability of identifying potential future lessees.",0,0,0,0,0,0,0,0,0,0,0,0,,,400000,0,
2008,391,Park & Recreation,Golf Course,Mission Bay Golf Course and Practice Center - New Landscaping,25-014.0,Council District: 6; Community Plan: Mission Bay Park,100000,100000,This project provides for new landscaping at the Mission Bay Golf Course and Practice Center.,This project provides for new landscaping to augment the existing landscaping and to replace aged and dying plant material.,0,0,0,0,0,0,0,0,0,0,0,0,,,100000,0,
2008,392,Park & Recreation,Golf Course,Mission Bay Golf Course and Practice Center - New Practice Area Upgrade,25-016.0,Council District: 6; Community Plan: Mission Bay Park,400000,400000,"This project provides for the demolition of existing, dilapidated miniature golf facilities (phase I) and the construction of additional practice areas at the Mission Bay Golf Course (phase II).","The proposed area is in a state of disrepair, does not meet current code requirements and poses a potential safety hazard.",0,0,0,0,0,0,0,0,0,0,0,0,,,400000,0,
2008,393,Park & Recreation,Golf Course,Torrey Pines Golf Course - Irrigation & Fence Upgrades,25-020.0,Council District: 1; Community Plan: Torrey Pines,250000,250000,This project provides for improvements to the existing irrigation system and the perimeter fence at the maintenance area and along Torrey Pines Golf Course.,The irrigation system and the fencing surrounding Torrey Pines Golf Course are in need of maintenance prior to the U.S. Open being held in June of 2008.,0,0,0,0,0,0,0,0,0,0,0,0,,,250000,0,
2008,394,Park & Recreation,Golf Course,Torrey Pines Golf Course - North Course Reconstruction of Eighteen Holes,25-005.0,Council District: 1; Community Plan: University,2600000,2600000,This project provides for course improvements at the Torrey Pines Municipal Golf Course (North Course). Other improvements include construction of a new wash rack facility and a sand storage bin.,This project provides needed reconstruction and improvements of 18 golf course holes.,0,0,0,0,0,0,0,0,0,0,0,0,,,2600000,0,
